model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
gradientboostingregressor,Bogota,15,1,6,"(81, 16)",54.0,27.0,1.630038119434417,0.03727369492236996,0.09853373358890147,0.021284770950315498,7
linearregression,Mumbai,15,1,6,"(49, 16)",32.0,17.0,12.913910365432555,0.0,-0.06959008579599613,0.0,7
linearregression,Singapore,15,1,6,"(212, 16)",142.0,70.0,7.630089613567504,1.7763568394002505e-15,0.05598556436677904,0.0,7
lasso,Istanbul,15,1,6,"(94, 16)",62.0,32.0,1.4412609713259528,0.0,0.0,0.0,7
lasso,MexicoCity,15,1,6,"(90, 16)",60.0,30.0,11.947810107167507,1.7763568394002505e-15,-0.05046781967677916,0.0,7
gradientboostingregressor,NewYorkCity,15,1,6,"(162, 16)",108.0,54.0,8.052719064929416,0.10763089512619682,0.30407116228241077,0.011348090769265491,7
randomforestregressor,Capetown,15,1,6,"(130, 16)",87.0,43.0,1.5247254133630201,0.030424021490796174,0.23342483622611696,0.014569748187948204,7
randomforestregressor,London,15,1,6,"(194, 16)",129.0,65.0,8.2570392326627,0.12114565622986205,0.21386072741289272,0.03128760510380745,7
lasso,Bogota,15,1,6,"(81, 16)",54.0,27.0,0.9757274243073047,1.1102230246251565e-16,0.0,0.0,7
ridge,Mumbai,15,1,6,"(49, 16)",32.0,17.0,12.277398853707878,1.7763568394002505e-15,-0.1956636700158647,0.0,7
linearregression,Istanbul,15,1,6,"(94, 16)",62.0,32.0,1.7305923207742604,0.0,-0.045454545454545414,0.0,7
ridge,Singapore,15,1,6,"(212, 16)",142.0,70.0,3.282114668634851,4.440892098500626e-16,0.4983438723276122,5.551115123125783e-17,7
linearregression,MexicoCity,15,1,6,"(90, 16)",60.0,30.0,50.461487116009735,7.105427357601002e-15,-0.00012335779929695256,0.0,7
lasso,NewYorkCity,15,1,6,"(162, 16)",108.0,54.0,8.500181844223603,0.0,0.0,0.0,7
gradientboostingregressor,Capetown,15,1,6,"(130, 16)",87.0,43.0,1.5471794484082309,0.016497818105801733,0.25032996353605697,0.021453334078571574,7
linearregression,Bogota,15,1,6,"(81, 16)",54.0,27.0,2.14740006564536,4.440892098500626e-16,-0.23853211009174302,0.0,7
gradientboostingregressor,London,15,1,6,"(194, 16)",129.0,65.0,11.468337882207674,0.16315770872758426,0.11178614640544142,0.017554932634946556,7
randomforestregressor,Mumbai,25,1,6,"(67, 16)",44.0,23.0,7.538690956500758,0.4365354351875766,0.07005217572108399,0.06867381270096888,7
ridge,Istanbul,15,1,6,"(94, 16)",62.0,32.0,1.7199217378575167,0.0,-0.045454545454545414,0.0,7
ridge,MexicoCity,15,1,6,"(90, 16)",60.0,30.0,16.505997519735477,0.0,0.10915492957746475,0.0,7
linearregression,NewYorkCity,15,1,6,"(162, 16)",108.0,54.0,7.954597783889978,1.7763568394002505e-15,0.22792262405382674,5.551115123125783e-17,7
randomforestregressor,Singapore,25,1,6,"(472, 16)",316.0,156.0,2.6504191627606812,0.03690209681900441,0.5129798735754161,0.014253884028488928,7
lasso,Capetown,15,1,6,"(130, 16)",87.0,43.0,1.782245016043746,4.440892098500626e-16,0.0,0.0,7
ridge,Bogota,15,1,6,"(81, 16)",54.0,27.0,1.799860788533413,2.220446049250313e-16,-0.17692307692307696,0.0,7
lasso,London,15,1,6,"(194, 16)",129.0,65.0,8.146041453182866,0.0,0.0,0.0,7
gradientboostingregressor,Mumbai,25,1,6,"(67, 16)",44.0,23.0,8.599227506001961,0.18797672282312886,0.09697206638755038,0.05890970662172618,7
randomforestregressor,Istanbul,25,1,6,"(139, 16)",93.0,46.0,1.5246244639733102,0.0332058138310834,0.008313931559613987,0.05673769978156304,7
randomforestregressor,MexicoCity,25,1,6,"(173, 16)",115.0,58.0,11.29868841426973,0.33473820995970704,0.0840197201669894,0.03136158941560091,7
ridge,NewYorkCity,15,1,6,"(162, 16)",108.0,54.0,7.918362369197547,8.881784197001252e-16,0.26089895234876653,5.551115123125783e-17,7
linearregression,Capetown,15,1,6,"(130, 16)",87.0,43.0,4.411766538443238,0.0,0.32571055210715455,5.551115123125783e-17,7
randomforestregressor,Bogota,25,1,6,"(119, 16)",79.0,40.0,1.6872271987546643,0.03473779311100067,0.0072055183541175506,0.07871102157614039,7
gradientboostingregressor,Singapore,25,1,6,"(472, 16)",316.0,156.0,2.783338260471511,0.029610818643670954,0.5111918298945469,0.0038610348355817077,7
lasso,Mumbai,25,1,6,"(67, 16)",44.0,23.0,6.665704943545301,8.881784197001252e-16,0.0,0.0,7
linearregression,London,15,1,6,"(194, 16)",129.0,65.0,7.7430149361300105,8.881784197001252e-16,0.26188139632693114,5.551115123125783e-17,7
gradientboostingregressor,Istanbul,25,1,6,"(139, 16)",93.0,46.0,1.9884243100007475,0.01924550987635997,-0.14326922929550295,0.036429449670377076,7
gradientboostingregressor,MexicoCity,25,1,6,"(173, 16)",115.0,58.0,12.262843329549357,0.24353488836429418,0.0884076497318915,0.027417940789990606,7
randomforestregressor,NewYorkCity,25,1,6,"(353, 16)",236.0,117.0,4.1903571494357985,0.12374961379097643,0.3070927604267932,0.025373159064327914,7
ridge,Capetown,15,1,6,"(130, 16)",87.0,43.0,1.7429234812949939,2.220446049250313e-16,0.08224882873503392,0.0,7
gradientboostingregressor,Bogota,25,1,6,"(119, 16)",79.0,40.0,1.582774084223134,0.019371801221351962,0.1683317963665706,0.032269498507804355,7
linearregression,Mumbai,25,1,6,"(67, 16)",44.0,23.0,9.551804280409412,0.0,0.09773593364716437,0.0,7
ridge,London,15,1,6,"(194, 16)",129.0,65.0,7.7302412511434335,8.881784197001252e-16,0.29094236047575484,0.0,7
lasso,Singapore,25,1,6,"(472, 16)",316.0,156.0,3.366634706357721,8.881784197001252e-16,0.01654846335697402,0.0,7
lasso,Istanbul,25,1,6,"(139, 16)",93.0,46.0,1.3889646576158958,2.220446049250313e-16,0.0,0.0,7
lasso,MexicoCity,25,1,6,"(173, 16)",115.0,58.0,10.75150341808566,1.7763568394002505e-15,0.0,0.0,7
gradientboostingregressor,NewYorkCity,25,1,6,"(353, 16)",236.0,117.0,4.410317209973456,0.011188433764205594,0.3193710169986761,0.0028082777115341433,7
lasso,Bogota,25,1,6,"(119, 16)",79.0,40.0,1.5106176383898864,2.220446049250313e-16,0.0,0.0,7
randomforestregressor,Capetown,25,1,6,"(273, 16)",182.0,91.0,1.016123342493226,0.019084630946841694,-0.04604625427710932,0.052866169653949927,7
ridge,Mumbai,25,1,6,"(67, 16)",44.0,23.0,7.7851835780618455,8.881784197001252e-16,0.14448201660006155,0.0,7
randomforestregressor,London,25,1,6,"(344, 16)",230.0,114.0,7.635371493337538,0.21655397499977674,-0.007315137141001436,0.02746581737840704,7
linearregression,Istanbul,25,1,6,"(139, 16)",93.0,46.0,1.5322146774446086,0.0,-0.04397163120567371,0.0,7
linearregression,MexicoCity,25,1,6,"(173, 16)",115.0,58.0,11.153977521945988,1.7763568394002505e-15,0.09198598520660695,0.0,7
linearregression,Singapore,25,1,6,"(472, 16)",316.0,156.0,2.661486465807893,4.440892098500626e-16,0.4999776376403239,1.1102230246251565e-16,7
linearregression,Bogota,25,1,6,"(119, 16)",79.0,40.0,2.0305214852311795,0.0,-0.1777301927194861,0.0,7
randomforestregressor,Mumbai,35,1,6,"(77, 16)",51.0,26.0,5.710742924494468,0.29424034675348376,0.04866900275224655,0.04659625411148051,7
lasso,NewYorkCity,25,1,6,"(353, 16)",236.0,117.0,4.243879960541222,8.881784197001252e-16,0.0,0.0,7
gradientboostingregressor,Capetown,25,1,6,"(273, 16)",182.0,91.0,1.2586833992479523,0.012472689892675035,-0.05699299125648797,0.010486632320710341,7
ridge,Istanbul,25,1,6,"(139, 16)",93.0,46.0,1.5545994573607549,2.220446049250313e-16,-0.08444757213230125,0.0,7
gradientboostingregressor,London,25,1,6,"(344, 16)",230.0,114.0,9.574738994251705,0.27191104898487495,-0.06072210928342917,0.015845208831057476,7
ridge,MexicoCity,25,1,6,"(173, 16)",115.0,58.0,11.322765680571065,1.7763568394002505e-15,0.11769791948122132,0.0,7
gradientboostingregressor,Mumbai,35,1,6,"(77, 16)",51.0,26.0,7.199019883799628,0.32043268120834556,-0.11639196845339307,0.047962985639624804,7
ridge,Bogota,25,1,6,"(119, 16)",79.0,40.0,2.0165770958744997,4.440892098500626e-16,-0.180327868852459,0.0,7
ridge,Singapore,25,1,6,"(472, 16)",316.0,156.0,2.6447618978822667,0.0,0.4844158268010452,0.0,7
linearregression,NewYorkCity,25,1,6,"(353, 16)",236.0,117.0,3.857276832737603,4.440892098500626e-16,0.3281027104136948,5.551115123125783e-17,7
lasso,Capetown,25,1,6,"(273, 16)",182.0,91.0,0.8356087282498521,0.0,0.0,0.0,7
randomforestregressor,Istanbul,35,1,6,"(191, 16)",127.0,64.0,1.4407263143578681,0.03559681731859868,-0.07380360984338218,0.043381221614017265,7
lasso,London,25,1,6,"(344, 16)",230.0,114.0,5.743952012712818,0.0,0.0,0.0,7
randomforestregressor,MexicoCity,35,1,6,"(222, 16)",148.0,74.0,9.859079668098016,0.13569197817301099,0.25078498485203066,0.02025852960234249,7
lasso,Mumbai,35,1,6,"(77, 16)",51.0,26.0,4.821820852099428,0.0,0.0,0.0,7
randomforestregressor,Bogota,35,1,6,"(96, 16)",64.0,32.0,1.353803399126874,0.052574572952146376,0.05385057816266651,0.05018147911626128,7
ridge,NewYorkCity,25,1,6,"(353, 16)",236.0,117.0,3.8277310309299497,4.440892098500626e-16,0.31660231660231647,5.551115123125783e-17,7
linearregression,Capetown,25,1,6,"(273, 16)",182.0,91.0,0.9391493787318675,1.1102230246251565e-16,0.08322382829610164,0.0,7
randomforestregressor,Singapore,35,1,6,"(805, 16)",539.0,266.0,2.642064894876405,0.01829191879522505,0.4219436273406254,0.009278972822266023,7
gradientboostingregressor,Istanbul,35,1,6,"(191, 16)",127.0,64.0,1.8280679746755812,0.01579590494452814,-0.11730056123256717,0.018647213051845676,7
gradientboostingregressor,MexicoCity,35,1,6,"(222, 16)",148.0,74.0,11.47928203044299,0.13324729367316432,0.204888702362424,0.010965332662241742,7
linearregression,London,25,1,6,"(344, 16)",230.0,114.0,5.958248036066513,8.881784197001252e-16,0.09035177346372791,0.0,7
linearregression,Mumbai,35,1,6,"(77, 16)",51.0,26.0,6.919691327200882,1.7763568394002505e-15,-0.09225700164744621,0.0,7
gradientboostingregressor,Bogota,35,1,6,"(96, 16)",64.0,32.0,3.487020869394153,0.11870322279601243,-0.10997472990804599,0.013313582532583274,7
randomforestregressor,NewYorkCity,35,1,6,"(408, 16)",273.0,135.0,5.334899030982556,0.08903194742617081,0.2807439038127338,0.02604940126068952,7
ridge,Capetown,25,1,6,"(273, 16)",182.0,91.0,0.9094409881043968,1.1102230246251565e-16,0.061224489795918324,0.0,7
lasso,Istanbul,35,1,6,"(191, 16)",127.0,64.0,1.1812385490176582,2.220446049250313e-16,0.0,0.0,7
ridge,Mumbai,35,1,6,"(77, 16)",51.0,26.0,6.2436593889138035,8.881784197001252e-16,0.004898958971218614,0.0,7
lasso,MexicoCity,35,1,6,"(222, 16)",148.0,74.0,11.528227098932888,0.0,0.0,0.0,7
lasso,Bogota,35,1,6,"(96, 16)",64.0,32.0,0.9473498800383789,1.1102230246251565e-16,0.0,0.0,7
gradientboostingregressor,Singapore,35,1,6,"(805, 16)",539.0,266.0,2.635933197391758,0.009059284558228605,0.4003068457224429,0.004350912793511857,7
ridge,London,25,1,6,"(344, 16)",230.0,114.0,5.915228537868955,8.881784197001252e-16,0.09946040542511314,0.0,7
gradientboostingregressor,NewYorkCity,35,1,6,"(408, 16)",273.0,135.0,5.9461514329971665,0.043810758608107674,0.3210453834603791,0.006372464138254889,7
linearregression,Istanbul,35,1,6,"(191, 16)",127.0,64.0,1.304397615746563,2.220446049250313e-16,0.007959782153330486,0.0,7
randomforestregressor,Mumbai,45,1,6,"(68, 16)",45.0,23.0,5.105318306000545,0.19865140319287494,-0.0006364163276714503,0.07332993510062594,7
randomforestregressor,Capetown,35,1,6,"(399, 16)",267.0,132.0,1.1309637968401003,0.012750925410608559,0.13876526111849846,0.026922550029899635,7
