NID,PC,Description,Length,Linestring
0,7,Bukit Timah Rd,0.50213,"MULTILINESTRING ((103.81332 1.32347 0,103.81341 1.32391 0),(103.81341 1.32391 0,103.81352 1.32446 0,103.81359 1.3248 0,103.81364 1.32514 0,103.81367 1.32541 0,103.8137 1.32572 0,103.8138 1.327 0),(103.8138 1.327 0,103.81383 1.3274 0),(103.81383 1.3274 0,103.81384 1.3276 0,103.81385 1.3278 0,103.81387 1.32797 0))"
1,6,Adam Rd,0.05212,"MULTILINESTRING ((103.81387 1.32797 0,103.81389 1.32809 0,103.81391 1.32819 0),(103.81391 1.32819 0,103.81394 1.32833 0),(103.81394 1.32833 0,103.81397 1.32843 0))"
2,4803,PIE/Pan Island Expy,0.53709,"MULTILINESTRING ((103.81397 1.32843 0,103.81402 1.3286 0,103.81408 1.32877 0),(103.81408 1.32877 0,103.81416 1.32895 0,103.81425 1.32913 0,103.81438 1.32935 0,103.81465 1.32976 0),(103.81465 1.32976 0,103.81486 1.33006 0),(103.81486 1.33006 0,103.81492 1.33015 0),(103.81492 1.33015 0,103.81505 1.33034 0),(103.81505 1.33034 0,103.81524 1.33063 0),(103.81524 1.33063 0,103.81539 1.33088 0),(103.81539 1.33088 0,103.81556 1.33118 0,103.81571 1.33146 0),(103.81571 1.33146 0,103.81581 1.33165 0),(103.81581 1.33165 0,103.81602 1.33201 0),(103.81602 1.33201 0,103.81621 1.33232 0,103.81631 1.33247 0,103.8164 1.33261 0))"
3,4803,PIE/Pan Island Expy,0.17061,"MULTILINESTRING ((103.81627 1.33214 0,103.81597 1.33162 0),(103.81597 1.33162 0,103.81551 1.3308 0))"
4,6,Adam Rd,0.34661,"MULTILINESTRING ((103.81551 1.3308 0,103.8154 1.33062 0),(103.8154 1.33062 0,103.81519 1.33029 0),(103.81519 1.33029 0,103.81501 1.33001 0),(103.81501 1.33001 0,103.81479 1.32966 0),(103.81479 1.32966 0,103.81453 1.32926 0),(103.81453 1.32926 0,103.81443 1.32909 0,103.81435 1.32895 0),(103.81435 1.32895 0,103.81426 1.32877 0),(103.81426 1.32877 0,103.8142 1.32863 0,103.81416 1.32851 0,103.81411 1.32835 0),(103.81411 1.32835 0,103.81409 1.32827 0),(103.81409 1.32827 0,103.81407 1.32819 0,103.81404 1.32806 0))"
5,7,Bukit Timah Rd,0.51367,"MULTILINESTRING ((103.81404 1.32806 0,103.81401 1.32789 0,103.81399 1.32772 0,103.81398 1.3276 0),(103.81398 1.3276 0,103.81396 1.32739 0),(103.81396 1.32739 0,103.81392 1.32699 0),(103.81392 1.32699 0,103.81382 1.32569 0,103.81377 1.32522 0,103.81372 1.32487 0,103.81363 1.32444 0,103.81353 1.32388 0,103.81344 1.32346 0))"
6,9,Falkland Rd,0.03496,"MULTILINESTRING ((103.82698 1.45957 0,103.82714 1.45955 0,103.82729 1.45952 0))"
7,10,Sembawang Rd,0.86679,"MULTILINESTRING ((103.82729 1.45952 0,103.82746 1.45948 0,103.82761 1.45943 0,103.82772 1.45939 0),(103.82772 1.45939 0,103.82783 1.45934 0,103.82799 1.45926 0,103.82812 1.45918 0,103.82834 1.45902 0),(103.82834 1.45902 0,103.82843 1.45894 0,103.82851 1.45887 0,103.82858 1.45879 0),(103.82858 1.45879 0,103.82869 1.45867 0,103.82879 1.45854 0,103.829 1.45824 0),(103.829 1.45824 0,103.82922 1.45791 0,103.82934 1.45772 0),(103.82934 1.45772 0,103.82938 1.45766 0),(103.82938 1.45766 0,103.82955 1.45741 0),(103.82955 1.45741 0,103.82995 1.45682 0),(103.82995 1.45682 0,103.83042 1.45608 0),(103.83042 1.45608 0,103.83054 1.45589 0),(103.83054 1.45589 0,103.8307 1.45563 0),(103.8307 1.45563 0,103.831 1.45513 0),(103.831 1.45513 0,103.83109 1.45497 0),(103.83109 1.45497 0,103.83142 1.4544 0),(103.83142 1.4544 0,103.83157 1.45414 0),(103.83157 1.45414 0,103.8316 1.45408 0),(103.8316 1.45408 0,103.83172 1.45385 0,103.83183 1.45366 0,103.83195 1.45346 0))"
8,10,Sembawang Rd,0.02527,"MULTILINESTRING ((103.83183 1.45338 0,103.83172 1.45358 0))"
9,9,Falkland Rd,0.86297,"MULTILINESTRING ((103.83172 1.45358 0,103.83158 1.45383 0),(103.83158 1.45383 0,103.83146 1.45405 0),(103.83146 1.45405 0,103.8313 1.45433 0),(103.8313 1.45433 0,103.83097 1.45489 0),(103.83097 1.45489 0,103.83086 1.45507 0),(103.83086 1.45507 0,103.83055 1.45556 0),(103.83055 1.45556 0,103.83038 1.45583 0),(103.83038 1.45583 0,103.83027 1.456 0),(103.83027 1.456 0,103.82981 1.45674 0),(103.82981 1.45674 0,103.82962 1.45704 0),(103.82962 1.45704 0,103.82943 1.45733 0),(103.82943 1.45733 0,103.82935 1.45746 0),(103.82935 1.45746 0,103.82905 1.45791 0,103.82881 1.45828 0),(103.82881 1.45828 0,103.82872 1.45841 0,103.8286 1.45856 0),(103.8286 1.45856 0,103.82851 1.45868 0,103.82848 1.45871 0),(103.82848 1.45871 0,103.8284 1.4588 0,103.82828 1.45891 0),(103.82828 1.45891 0,103.8281 1.45904 0,103.82788 1.45917 0,103.82767 1.45927 0),(103.82767 1.45927 0,103.82753 1.45932 0,103.82739 1.45936 0),(103.82739 1.45936 0,103.82725 1.45939 0,103.82709 1.45941 0,103.82697 1.45942 0))"
