NID,PC,DE,LE,TY,FF
0,7,Bukit Timah Rd,0.50213,TR,68.7
1,6,Adam Rd,0.05212,TR,60.7
2,4803,PIE/Pan Island Expy,0.53709,TR,57.9
3,4803,PIE/Pan Island Expy,0.17061,TR,68.4
4,6,Adam Rd,0.34661,TR,67.0
5,7,Bukit Timah Rd,0.51367,TR,68.9
6,9,Falkland Rd,0.03496,TR,60.0
7,10,Sembawang Rd,0.86679,TR,49.9
8,10,Sembawang Rd,0.02527,TR,37.0
9,9,Falkland Rd,0.86297,TR,54.8
10,17,Falkland Rd,0.02675,TR,60.0
11,16,Canberra Rd,0.45258,TR,56.7
12,2826,Sembawang Dr,0.81232,TR,54.2
13,15,Woodlands Ave 10,0.88174,TR,42.0
14,14,Woodlands Ave 8,1.211,TR,45.2
15,2832,Woodlands Ind Park E4,0.77089,TR,47.9
16,13,Woodlands Ave 4,0.47023,TR,40.0
17,12,Admiralty Rd W,1.2707,TR,49.4
18,12,Admiralty Rd W,0.06617,TR,44.0
19,13,Woodlands Ave 4,1.23042,TR,46.2
20,2832,Woodlands Ind Park E4,0.42868,TR,51.5
21,14,Woodlands Ave 8,0.817,TR,40.9
22,15,Woodlands Ave 10,1.20765,TR,48.2
23,2826,Sembawang Dr,0.8525,TR,44.3
24,16,Canberra Rd,0.82749,TR,56.8
25,17,Falkland Rd,0.47091,TR,57.2
26,24,Nicoll Dr,0.02387,TR,20.0
27,23,Airport Cargo Rd,1.14604,TR,28.3
28,21,Admiralty Rd W,0.04131,TR,51.0
29,20,Riverside Rd,0.49124,TR,44.4
30,19,Woodlands Centre Rd,1.09673,TR,36.2
31,23,Airport Cargo Rd,0.04377,TR,40.0
32,24,Nicoll Dr,0.9365,TR,25.9
33,19,Woodlands Centre Rd,0.0601,TR,30.0
34,20,Riverside Rd,1.03422,TR,36.4
35,21,Admiralty Rd W,0.5293,TR,49.3
36,27,Airport Blvd (North),0.29942,TR,40.8
37,3512,Airport Blvd (South),0.92614,TR,49.6
38,3511,T3 Departure Dr/T2 Blvd,0.29702,TR,50.0
39,26,PIE/Pan Island Expy,1.43073,TR,58.4
40,29,Paya Lebar Rd/Upp Paya Lebar Rd,0.10284,TR,26.8
