NID,PC,DE,LE,TY,FF
0,326,Swami Vivekanand Road/Jabwata Chowk,0.01473,TR,17.0
1,325,11th Road/Kamalabai Choubal Marg,0.19057,TR,20.0
2,324,Linking Road/Padmashri Rajinder Singh Bedi Chowk,0.16295,TR,20.0
3,336,Sewri/Boat Hard Road,0.05524,TR,20.0
4,335,Signal Hill Avenue,0.29645,TR,24.0
5,334,Sant Savta Marg/Victoria Marg,0.28487,TR,32.0
6,328,Moti Dayal Chowk/Govind Patil Road/Chitrakar Dhurandhar Marg,0.02003,TR,12.0
7,329,Ramkrishna Mission Road,0.28181,TR,14.0
8,330,B. C. Chatterjee Marg/Main Avenue Road,0.10363,TR,16.0
9,331,Hanuman Chowk/North Avenue,0.20094,TR,13.0
10,332,Gazdahar Chowk/Juhu Road,0.72588,TR,18.0
11,334,Sant Savta Marg/Victoria Marg,0.01152,TR,30.0
12,335,Signal Hill Avenue,0.25165,TR,27.0
13,336,Sewri/Boat Hard Road,0.3635,TR,23.0
14,343,Abdul Hakim Chowk/Khar Subway Road,0.01442,TR,27.0
15,344,Jawaharlal Nehru Road/Nehru Road/Pandit Jawaharlal Nehru Road,0.59742,TR,29.0
16,344,Jawaharlal Nehru Road/Nehru Road/Pandit Jawaharlal Nehru Road,0.03143,TR,28.0
17,343,Abdul Hakim Chowk/Khar Subway Road,0.58091,TR,31.0
18,341,Narayan Genuji Kadam Kemkar Chowk/Mahim Sion Link Road,0.02334,TR,27.0
19,340,Dharavi Main Road,0.21663,TR,28.0
20,339,R. D. Bhandare Chowk/K. K. Krishana Marg,0.84549,TR,23.0
21,338,Dr Babasaheb Ambedkar Chowk/Bhau Daji Road,0.51828,TR,26.0
22,338,Dr Babasaheb Ambedkar Chowk/Bhau Daji Road,0.04493,TR,18.0
23,339,R. D. Bhandare Chowk/K. K. Krishana Marg,0.47716,TR,26.0
24,340,Dharavi Main Road,0.84426,TR,25.0
25,341,Narayan Genuji Kadam Kemkar Chowk/Mahim Sion Link Road,0.23789,TR,32.0
26,350,Shahid Bhagat Singh Chowk/Andheri Ghatkopar Link Road,0.02718,TR,18.0
27,349,Saki Naka,0.80164,TR,17.0
28,348,Hanuman Road,0.25417,TR,16.0
29,347,Jagannath Mandir Road/Kurla Pipe Line Road,0.18929,TR,16.0
