NID,PC,DE,LE,TY,FF
0,10078,Verzweigung Zürich-Ost,0.59093,TR,65.0
1,25926,Aubrugg,0.32378,TR,58.8
2,10411,Schwamendingen,0.98572,TR,58.9
3,11197,Schöneich-Tunnel,0.60334,TR,60.0
4,10412,Unterstrass,0.74798,TR,59.9
5,11133,Milchbuck-Tunnel,0.68176,TR,60.0
6,10414,Letten,0.89639,TR,58.1
7,10414,Letten,0.06737,TR,42.7
8,11133,Milchbuck-Tunnel,1.50736,TR,60.0
9,10412,Unterstrass,0.60978,TR,60.3
10,11197,Schöneich-Tunnel,0.64271,TR,60.8
11,10411,Schwamendingen,0.15022,TR,60.0
12,25926,Aubrugg,1.1442,TR,61.1
13,10078,Verzweigung Zürich-Ost,0.91582,TR,81.6
14,10409,Hardturm,0.37928,TR,60.0
15,10407,Altstetten,1.62304,TR,71.3
16,26329,Oberengstringen,2.13846,TR,104.4
17,10003,Verzweigung Limmattal,2.42165,TR,84.2
18,26329,Oberengstringen,2.14531,TR,101.4
19,10407,Altstetten,2.30175,TR,88.9
20,10409,Hardturm,1.37036,TR,53.3
21,10621,Zumikon,2.23806,TR,80.0
22,10795,Küsnachter-Kreuzung,0.7067,TR,65.2
23,10795,Küsnachter-Kreuzung,0.14692,TR,58.0
24,10621,Zumikon,1.02067,TR,77.3
25,10623,Forch,2.72769,TR,80.0
26,25938,Triemlispital,1.82602,TR,36.8
27,25310,Uititkon-Waldegg,2.78042,TR,52.7
28,12321,Birmensdorf,3.67244,TR,58.5
29,27168,Verzweigung Zürich-West,2.34262,TR,51.3
30,12320,Hedingen,5.52577,TR,62.9
31,27168,Verzweigung Zürich-West,5.48181,TR,62.4
32,12321,Birmensdorf,2.34262,TR,52.0
33,25310,Uititkon-Waldegg,3.66149,TR,57.9
34,25938,Triemlispital,2.79025,TR,52.1
35,27698,Zürich - Wiedikon,2.3874,TR,33.9
36,23158,Birmensdorf,0.07798,TR,40.0
37,27169,Birmensdorf,1.25242,TR,55.9
38,23158,Birmensdorf,1.2051,TR,53.0
39,23163,Aesch b. B.,2.23607,TR,66.0
40,23162,Birmensdorf,1.80673,TR,60.5
41,23162,Birmensdorf,0.0465,TR,36.0
42,23163,Aesch b. B.,1.78448,TR,60.7
43,23164,Arni,2.20132,TR,66.9
44,25608,Bonstetten,0.06601,TR,32.0
45,23167,Islisberg,3.06477,TR,45.2
46,23166,Arni,1.26762,TR,55.5
47,23167,Islisberg,1.23874,TR,56.1
48,25608,Bonstetten,3.13078,TR,46.0
49,23544,Stallikon,4.98093,TR,71.3
50,23543,Sellenbüren,2.10164,TR,58.5
51,23542,Landikon,2.13592,TR,56.1
52,23541,Birmensdorf,2.07135,TR,52.9
53,23541,Birmensdorf,0.02268,TR,31.0
54,23542,Landikon,2.04867,TR,53.5
55,23543,Sellenbüren,2.10785,TR,55.3
56,23544,Stallikon,2.10164,TR,58.2
57,23545,Aegstertal,4.98093,TR,70.8
58,23567,Landikon,0.01903,TR,44.0
59,23566,Wettswil,3.50708,TR,47.5
60,23565,Bonstetten,2.01132,TR,53.5
61,23564,Bonstetten,0.07793,TR,34.0
62,23565,Bonstetten,0.21689,TR,60.0
63,23566,Wettswil,1.79442,TR,53.4
64,23567,Landikon,3.52611,TR,47.3
65,23564,Bonstetten,9.80014,TR,53.0
66,23569,Wollishofen,0.01952,TR,36.0
67,27171,Wollishofen,2.30749,TR,38.8
68,23568,Adliswil,2.67874,TR,42.5
69,23573,Kilchberg,0.03355,TR,30.0
70,23572,Adliswil,2.72214,TR,38.8
71,23573,Kilchberg,2.74206,TR,39.2
72,27171,Wollishofen,2.741,TR,44.2
73,23569,Wollishofen,2.12165,TR,38.4
74,23575,Uitikon-Waldegg,0.02903,TR,33.0
75,23574,Landikon,3.83508,TR,53.3
76,23574,Landikon,0.02654,TR,36.0
77,23575,Uitikon-Waldegg,3.87993,TR,53.0
78,23580,Uitikon,0.03874,TR,29.0
79,23579,Birmensdorf,2.56798,TR,49.7
80,23579,Birmensdorf,0.13417,TR,38.0
81,23580,Uitikon,2.47255,TR,51.2
82,23578,Uitikon-Waldegg,0.02264,TR,46.0
83,23577,Uitikon,1.05076,TR,38.4
84,23576,Schlieren,5.45953,TR,52.1
85,23576,Schlieren,0.10499,TR,38.0
86,23577,Uitikon,5.36337,TR,51.6
87,23578,Uitikon-Waldegg,1.07341,TR,38.5
88,25895,Seebach,3.05399,TR,59.2
89,25895,Seebach,0.17555,TR,34.5
90,25896,Rümlang,2.90713,TR,63.7
91,23635,Affoltern,0.02866,TR,41.0
92,23634,Regensdorf,3.03421,TR,53.4
93,23633,Weiningen,4.69566,TR,55.1
94,23633,Weiningen,0.17086,TR,50.0
95,23634,Regensdorf,4.51582,TR,53.4
96,23635,Affoltern,3.03867,TR,53.1
97,23639,Rümlang,5.92125,TR,57.1
98,23638,Watt,5.78293,TR,56.5
99,23694,Regensdorf,3.87751,TR,49.5
100,23695,Dällikon,3.81993,TR,49.4
101,23711,Höngg,0.0303,TR,35.0
102,23710,Regensdorf,3.64408,TR,54.1
103,23710,Regensdorf,0.0123,TR,44.0
104,23711,Höngg,3.65801,TR,54.2
105,23703,Weiningen,2.92673,TR,50.6
106,25309,Unterengstringen,1.03297,TR,41.7
107,23704,Oberengstringen,0.99901,TR,46.5
108,27701,Höngg,1.92293,TR,44.6
109,27702,Zürich - Am Wasser,0.82523,TR,43.8
110,27702,Zürich - Am Wasser,0.01468,TR,35.0
111,27701,Höngg,0.86087,TR,43.0
112,23704,Oberengstringen,1.90771,TR,44.6
113,25309,Unterengstringen,1.16792,TR,45.2
114,23703,Weiningen,0.83856,TR,42.4
115,23702,Geroldswil,2.90534,TR,51.0
116,23730,Oerlikon,0.0361,TR,40.0
117,23729,Rümlang,5.40122,TR,44.7
118,23730,Oerlikon,5.4324,TR,42.8
119,23836,Baltenswil,2.0363,TR,47.1
120,23837,Bassersdorf,2.0513,TR,47.9
121,23898,Brüttisellen,0.02376,TR,27.0
122,23897,Dietlikon,1.81303,TR,36.5
123,23897,Dietlikon,0.05071,TR,45.0
124,23898,Brüttisellen,1.78608,TR,35.5
125,23905,Opfikon,0.03801,TR,31.8
126,23904,Glattbrugg,0.94216,TR,43.8
127,23904,Glattbrugg,0.04439,TR,29.2
128,23905,Opfikon,0.98931,TR,43.8
129,25904,Wangen,1.34494,TR,36.6
130,23906,Dübendorf,2.17611,TR,47.2
131,23906,Dübendorf,0.1052,TR,50.0
132,25904,Wangen,2.30437,TR,47.8
133,23907,Wangen,1.36124,TR,37.1
134,24114,Zumikon,1.69714,TR,37.1
135,24115,Waltikon,1.23054,TR,41.8
136,24115,Waltikon,0.01036,TR,32.0
137,24114,Zumikon,1.18113,TR,43.7
138,24113,Forch,1.69714,TR,48.5
139,23919,Binz,2.28365,TR,49.7
140,23918,Hirslanden,3.67611,TR,48.0
141,27704,Zürich - Heimplatz,3.57877,TR,34.7
142,27704,Zürich - Heimplatz,0.03251,TR,31.8
143,23918,Hirslanden,3.52942,TR,38.3
144,23919,Binz,3.71367,TR,49.0
145,23920,Fällanden,2.30122,TR,49.7
146,24123,Waltikon,0.00537,TR,33.0
147,24122,Itschnach,1.52952,TR,47.7
148,24121,Zollikon,4.20306,TR,42.5
149,24121,Zollikon,0.03194,TR,32.0
150,24122,Itschnach,4.19975,TR,42.2
151,24123,Waltikon,1.4942,TR,46.8
152,24125,Limberg,2.935,TR,48.4
153,24126,Forch,4.77942,TR,48.0
154,24125,Limberg,4.73059,TR,49.1
155,24124,Erlenbach,2.98286,TR,48.0
156,23983,Binz,0.039,TR,32.4
157,23982,Ebmatingen,1.27062,TR,48.5
158,23983,Binz,1.31012,TR,49.8
159,23988,Benglen,0.07645,TR,16.1
160,23987,Binz,0.80555,TR,34.7
161,23987,Binz,0.0395,TR,37.7
162,23988,Benglen,0.81183,TR,33.3
163,23993,Pfaffhausen,0.06315,TR,30.0
164,23992,Binz,1.69409,TR,40.3
165,23992,Binz,0.04138,TR,37.5
166,23993,Pfaffhausen,1.68673,TR,39.9
167,23990,Wil bei Dübendorf,2.79332,TR,56.1
168,23989,Dübendorf,1.44733,TR,37.5
169,23989,Dübendorf,0.18471,TR,30.0
170,23990,Wil bei Dübendorf,1.36695,TR,36.7
171,23991,Fällanden,2.80204,TR,56.6
172,26901,Birmensdorf,0.05585,TR,37.0
173,26900,Urdorf-Süd,2.64811,TR,52.5
174,26901,Birmensdorf,2.70379,TR,50.9
175,27162,Verzweigung Zürich-Süd,1.08425,TR,80.0
176,12666,Brunau,0.85445,TR,80.0
177,12665,Wiedikon,1.75053,TR,55.8
178,12665,Wiedikon,0.15971,TR,45.2
179,12666,Brunau,2.22648,TR,75.5
180,27162,Verzweigung Zürich-Süd,1.12214,TR,80.0
181,10887,Glattbrugg,1.54414,TR,44.8
182,25262,Glattbrugg,0.3598,TR,38.5
183,27672,Zuerich - Seebach,1.83663,TR,41.0
184,27671,Zürich - Bahnhof Oerlikon Ost,1.09913,TR,34.1
185,27670,Zürich - Hallenstadion,0.72885,TR,28.5
186,27669,Zürich - Milchbuck,1.84387,TR,35.3
187,24102,Brüttisellen,1.19811,TR,52.3
188,11521,Wallisellen,1.9328,TR,42.1
189,27691,Schwamendingen/Glattzentrum,1.81011,TR,52.4
190,27690,Schwamendingen Zentrum,1.35468,TR,36.7
191,25941,Schwamendingen,1.42941,TR,38.6
192,25289,Unterstrass,0.71337,TR,44.7
193,27689,Zürich - Milchbuck,0.89048,TR,49.1
194,27688,Hirschwiesentunnel,0.03706,TR,47.0
195,27687,Zürich - Bucheggplatz,0.48205,TR,48.9
196,27686,Zürich - Escher-Wyss-Platz,1.11682,TR,47.8
197,12323,Zürich - Hardbrücke,0.25029,TR,35.1
198,27685,Zürich - Toni Areal,0.55776,TR,35.0
199,10410,Hardturm,1.15357,TR,50.1
200,10408,Altstetten,1.77485,TR,57.9
201,11451,Schlieren,3.11414,TR,48.3
202,10499,Urdorf-Nord,1.88445,TR,44.2
203,11453,Schlieren,4.03752,TR,41.6
204,25312,Wollishofen,0.19702,TR,47.4
205,23536,Adliswil,2.67874,TR,42.5
206,11444,Küsnacht,2.0397,TR,53.9
207,24110,Zollikon,2.39289,TR,56.1
208,27678,Zürich - Bellevue,3.57584,TR,47.3
209,27679,Zürich - Heimplatz,0.46594,TR,31.0
210,27680,Zürich - Rigiplatz,1.61115,TR,36.8
211,27681,Zürich - Milchbuck,2.82223,TR,43.6
212,27682,Zürich - Radiostudio,0.75112,TR,36.5
213,27683,Zürich - Glaubtenstrasse,1.84333,TR,42.5
214,27684,Affoltern,1.10464,TR,42.6
215,10274,Affoltern,1.40444,TR,44.9
216,11443,Regensdorf,1.73072,TR,61.3
217,27318,Aescher-Tunnel,1.66526,TR,99.4
218,27165,Verzweigung Zürich-West,0.83746,TR,96.0
219,27323,Wettswil,0.48878,TR,88.8
220,27166,Uetliberg-Tunnel,4.48449,TR,100.0
221,27167,Verzweigung Zürich-Süd,0.75117,TR,83.4
222,25924,Entlisberg-Tunnel,0.90315,TR,80.0
223,10505,Wollishofen,0.56779,TR,84.1
224,26356,Aspholz,1.12075,TR,105.0
225,10506,Thalwil,2.48265,TR,105.0
226,27696,Zürich - Bellevue,0.07254,TR,25.0
227,27697,Zürich - Kreuzplatz,0.22302,TR,25.2
228,25894,Zollikerberg,4.70326,TR,43.6
