NID,PC,DE,LE,TY,FF
0,79,New North Rd,0.35762,TR,59.3
1,78,View Rd,0.18292,TR,40.9
2,77,Valley Rd/Walters Rd,0.44507,TR,40.6
3,76,Balmoral Rd,1.30512,TR,42.5
4,75,Landscape Rd,1.00921,TR,43.8
5,74,Mount Albert Rd,0.97581,TR,43.8
6,73,Denbigh Ave,0.5748,TR,39.4
7,8304,SH 20/South-Western Mtwy,0.25662,TR,38.2
8,72,Richardson Rd,1.02674,TR,47.2
9,71,Hillsborough Rd,1.21591,TR,44.5
10,39,Quay St/Tamaki Dr,0.03237,TR,36.0
11,40,Gladstone Rd,0.10496,TR,40.6
12,41,Parnell Rise,0.84534,TR,43.0
13,42,Grafton Rd/Stanley St,0.49973,TR,45.0
14,43,SH 1/Southern Mtwy/Wellesley St/Exit 3/Exit 4A,2.13318,TR,76.2
15,44,Newton Rd/Exit 5,0.41486,TR,80.0
16,45,St Lukes Rd/Great North Rd/Exit 6,2.64025,TR,80.0
17,46,Great North Rd,2.48939,TR,80.0
18,47,Rosebank Rd/Exit 11,1.94712,TR,86.6
19,48,Patiki Rd,0.94878,TR,95.6
20,49,Te Atatu Rd/Exit 14,1.7716,TR,93.6
21,50,Lincoln Rd/Selwood Rd Exit 16,2.12392,TR,89.4
22,51,Makora Rd/Royal Rd/Exit 18,1.87788,TR,85.0
23,52,SH 18/Hobsonville Rd,0.85443,TR,91.4
24,52,SH 18/Hobsonville Rd,0.65508,TR,97.5
25,51,Makora Rd/Royal Rd/Exit 18,1.40122,TR,90.4
26,50,Lincoln Rd/Selwood Rd Exit 16,2.13544,TR,85.5
27,49,Te Atatu Rd/Exit 14,2.01607,TR,92.2
28,48,Patiki Rd,1.32415,TR,94.9
29,47,Rosebank Rd/Exit 11,1.43564,TR,94.7
30,46,Great North Rd,2.63418,TR,93.2
31,45,St Lukes Rd/Great North Rd/Exit 6,2.10027,TR,89.8
32,44,Newton Rd/Exit 5,1.80832,TR,80.0
33,43,SH 1/Southern Mtwy/Wellesley St/Exit 3/Exit 4A,2.29773,TR,79.1
34,42,Grafton Rd/Stanley St,0.27488,TR,66.2
35,41,Parnell Rise,0.36297,TR,38.7
36,40,Gladstone Rd,0.89922,TR,46.3
37,39,Quay St/Tamaki Dr,0.08907,TR,29.1
38,81,Frederick St,0.01358,TR,40.0
39,82,SH 20/Southwestern Mtwy/Hendry Ave,0.22245,TR,42.2
40,83,SH 20/Southwestern Mtwy/Bel Air Dr,0.18535,TR,43.8
41,84,Herd Rd,0.4584,TR,45.8
42,85,Trafalgar St,0.09408,TR,41.4
43,85,Trafalgar St,0.03139,TR,35.0
44,84,Herd Rd,0.06269,TR,42.2
45,83,SH 20/Southwestern Mtwy/Bel Air Dr,0.53954,TR,47.8
46,82,SH 20/Southwestern Mtwy/Hendry Ave,0.15134,TR,41.0
47,81,Frederick St,0.19804,TR,45.5
48,71,Hillsborough Rd,0.03218,TR,33.0
49,72,Richardson Rd,1.21772,TR,44.5
50,8304,SH 20/South-Western Mtwy,1.17614,TR,48.7
51,73,Denbigh Ave,0.08981,TR,42.5
52,74,Mount Albert Rd,0.55955,TR,40.4
53,75,Landscape Rd,0.97581,TR,46.5
54,76,Balmoral Rd,1.08353,TR,43.7
55,77,Valley Rd/Walters Rd,1.2308,TR,44.3
56,78,View Rd,0.44507,TR,44.7
57,79,New North Rd,0.46253,TR,54.7
58,89,Manukau Rd,0.06655,TR,44.4
59,88,Mount Albert Rd,1.19714,TR,46.1
60,87,Trafalgar St,0.53831,TR,43.1
61,87,Trafalgar St,0.03152,TR,47.0
62,88,Mount Albert Rd,0.50678,TR,45.5
63,89,Manukau Rd,1.2637,TR,49.3
64,107,Symonds St/Mount Eden Rd,0.01746,TR,33.0
65,106,Dominion Rd/Ian McKinnon Dr,0.87843,TR,46.6
66,105,Bond St/Sandringham Rd,0.58943,TR,43.1
67,104,Morningside Dr,0.9355,TR,43.5
68,103,St Lukes Rd,0.97384,TR,45.7
69,102,Mount Albert Rd/Carrington Rd,1.26569,TR,44.3
70,101,Richardson Rd/Woodward Rd,0.73987,TR,41.7
71,100,Hendon Ave,0.61473,TR,45.2
72,99,Blockhouse Bay Rd,0.57038,TR,38.9
73,97,Great South Rd/Alpers Ave/St Marks Rd,0.02809,TR,36.0
74,96,Owens Rd,0.34419,TR,43.5
75,95,Campbell Cres,1.17372,TR,47.1
76,94,Green Ln W,0.49364,TR,40.6
77,93,Pah Rd,0.67274,TR,47.7
78,92,Mount Albert Rd/Mount Smart Rd/Campbell Rd,1.42751,TR,44.8
79,91,Trafalgar St,0.52474,TR,44.0
80,91,Trafalgar St,0.03998,TR,37.0
81,92,Mount Albert Rd/Mount Smart Rd/Campbell Rd,0.51562,TR,41.9
82,93,Pah Rd,1.39257,TR,43.6
83,94,Green Ln W,0.71085,TR,43.5
84,95,Campbell Cres,0.65996,TR,46.1
85,96,Owens Rd,0.96929,TR,47.1
86,97,Great South Rd/Alpers Ave/St Marks Rd,0.37229,TR,41.6
87,114,Great North Rd,0.04347,TR,43.0
88,113,Rosebank Rd,0.84355,TR,48.9
89,112,St Jude St/New North Rd,0.28333,TR,39.7
90,111,Tiverton Rd/Wolverton St,1.04337,TR,42.0
91,110,Taylor St,1.76523,TR,48.0
92,109,Donovan St/Kinross St/Heaphy St,0.15362,TR,35.2
93,99,Blockhouse Bay Rd,0.01241,TR,39.0
94,100,Hendon Ave,0.55797,TR,42.0
95,101,Richardson Rd/Woodward Rd,0.61473,TR,45.2
96,102,Mount Albert Rd/Carrington Rd,0.79495,TR,40.8
97,103,St Lukes Rd,1.29129,TR,46.5
98,104,Morningside Dr,0.89317,TR,47.4
99,105,Bond St/Sandringham Rd,1.02614,TR,42.1
100,106,Dominion Rd/Ian McKinnon Dr,0.9196,TR,48.1
101,107,Symonds St/Mount Eden Rd,0.47509,TR,39.4
102,109,Donovan St/Kinross St/Heaphy St,0.03043,TR,29.9
103,110,Taylor St,0.17829,TR,43.2
104,111,Tiverton Rd/Wolverton St,1.71167,TR,46.5
105,112,St Jude St/New North Rd,1.04337,TR,41.5
106,113,Rosebank Rd,0.28333,TR,41.8
107,114,Great North Rd,0.84355,TR,47.4
108,122,Great North Rd,0.04728,TR,36.0
109,121,Margan Ave,0.32438,TR,41.2
110,120,Parker Ave,0.88188,TR,48.3
111,119,Pleasant Rd,0.93486,TR,48.4
112,118,Golf Rd,0.36841,TR,48.1
113,117,Godley Rd,0.95135,TR,49.6
114,116,Atkinson Rd/Huia Rd/Scenic Dr,0.86438,TR,39.6
