NID,PC,DE,LE,TY,FF
0,5,Tunç Dal Yozatlı Sokak,0.01281,TR,22.0
1,4,Basın Sitesi Sokak,0.04237,TR,21.5
2,49,Trt Caddesi,0.00817,TR,32.0
3,50,Ordu Caddesi,0.157,TR,26.9
4,51,Fatih Sultan Mehmet Caddesi,0.10003,TR,33.0
5,109,D-569/569.01/Çatalca Yolu Caddesi,0.16732,TR,30.0
6,108,E80/Tem Otoyolu,0.83696,TR,44.9
7,106,Halife Caddesi/Kaptanı Derya Caddesi,0.05073,TR,36.0
8,105,Yediveren Caddesi/Ravza Caddesi,0.10726,TR,35.0
9,104,Alparslan Caddesi,1.38437,TR,34.1
10,103,Ulus Caddesi/Abdurrahman Gazi Caddesi/Sevenler Caddesi,0.2817,TR,32.4
11,102,Osman Gazi Caddesi,0.31691,TR,40.2
12,102,Osman Gazi Caddesi,0.223,TR,50.0
13,103,Ulus Caddesi/Abdurrahman Gazi Caddesi/Sevenler Caddesi,0.19191,TR,28.5
14,104,Alparslan Caddesi,0.22054,TR,39.2
15,105,Yediveren Caddesi/Ravza Caddesi,1.36772,TR,33.1
16,106,Halife Caddesi/Kaptanı Derya Caddesi,0.158,TR,39.6
17,108,E80/Tem Otoyolu,0.82894,TR,50.0
18,109,D-569/569.01/Çatalca Yolu Caddesi,0.60765,TR,30.0
19,112,Bahçeler Caddesi/Çayıryolu Caddesi,0.04158,TR,27.0
20,111,Bozbey Caddesi/Vaha Caddesi,0.97794,TR,25.5
21,111,Bozbey Caddesi/Vaha Caddesi,0.05958,TR,22.0
22,112,Bahçeler Caddesi/Çayıryolu Caddesi,0.95994,TR,26.9
23,115,D-569/569.01/Çatalca Yolu Caddesi,0.02616,TR,36.0
24,114,Bahçeler Caddesi/Çayıryolu Caddesi,1.00396,TR,36.4
25,114,Bahçeler Caddesi/Çayıryolu Caddesi,0.04571,TR,30.0
26,115,D-569/569.01/Çatalca Yolu Caddesi,0.95824,TR,33.7
27,118,Pınarbaşı Caddesi,0.03366,TR,36.0
28,117,Hayrabolu Caddesi,0.68855,TR,44.8
29,117,Hayrabolu Caddesi,0.04809,TR,26.0
30,118,Pınarbaşı Caddesi,0.67412,TR,46.2
31,121,D-569/569.01/Çatalca Yolu Caddesi,0.02689,TR,47.0
