NID,PC,DE,LE,TY,FF
0,1150,Avenida Calle 80,0.27561,TR,42.9
1,1151,Avenida Calle 85,0.24948,TR,44.2
2,1152,Calle 89,0.68178,TR,59.5
3,1153,Avenida Carrera 30,0.36567,TR,55.3
4,1153,Avenida Carrera 30,0.06731,TR,54.4
5,1152,Calle 89,0.0502,TR,58.0
6,1151,Avenida Calle 85,1.07918,TR,34.5
7,1150,Avenida Calle 80,0.25707,TR,38.4
8,1195,Avenida Ciudad De Cali,0.08072,TR,29.5
9,1194,Carrera 80G,0.62929,TR,37.1
10,1193,Avenida Calle 6,0.86682,TR,48.6
11,1193,Avenida Calle 6,0.29998,TR,50.0
12,1194,Carrera 80G,0.55104,TR,43.9
13,1195,Avenida Ciudad De Cali,0.72079,TR,33.1
14,1352,Avenida De Las Américas/Avenida Carrera 80,0.03175,TR,30.0
15,1353,Avendida Manuel Cepeda Vargas,0.48072,TR,25.1
16,1353,Avendida Manuel Cepeda Vargas,0.03026,TR,27.0
17,1352,Avenida De Las Américas/Avenida Carrera 80,0.61235,TR,24.5
18,1377,Carrera 78B,0.04167,TR,42.0
19,1376,Avenida Boyaca,0.49653,TR,46.6
20,1375,Carrera 71F,0.13978,TR,41.5
21,1375,Carrera 71F,0.02031,TR,55.0
22,1376,Avenida Boyaca,0.19952,TR,51.9
23,1377,Carrera 78B,0.4572,TR,38.3
24,1387,Diagonal 39A S,0.03185,TR,31.8
25,1388,Transversal 35,0.28212,TR,33.9
26,1388,Transversal 35,0.11967,TR,30.2
27,1387,Diagonal 39A S,0.18991,TR,36.9
28,1373,Avenida Calle 145/Calle 138/Carrera 76,0.02495,TR,50.0
29,1372,Avenida Boyaca/Calle 129,1.32991,TR,50.0
30,1371,Avenida Calle 127,1.0642,TR,44.2
31,1370,Avenida Calle 116,1.21466,TR,46.6
32,1369,Avenida Carrera 70,0.16489,TR,40.0
33,1368,Carrera 64,0.71159,TR,44.4
34,1367,Avenida Calle 100,0.49216,TR,39.8
35,1366,Carrera 50,0.56069,TR,47.5
36,1365,Calle 86A,0.88446,TR,45.2
37,1364,Calle 85A,0.1287,TR,44.2
38,1363,Avenida Calle 80,0.17682,TR,35.3
39,1396,Avenida De Las Américas/Avenida Calle 13,0.02438,TR,19.0
40,1395,Calle 5C,0.60693,TR,35.7
41,1394,Avenida Calle 3,0.97704,TR,31.6
42,1393,Calle 2C/Calle 2BBIS,0.2223,TR,37.9
43,1392,Avenida Calle 8 S,0.64042,TR,36.9
44,1391,Avenida Calle 26 S,0.707,TR,34.6
45,1390,Transversal 35,1.21141,TR,33.3
46,1363,Avenida Calle 80,0.13866,TR,46.5
47,1364,Calle 85A,0.14301,TR,42.3
48,1365,Calle 86A,0.13154,TR,40.8
49,1366,Carrera 50,0.98662,TR,43.2
50,1367,Avenida Calle 100,0.57966,TR,39.5
51,1368,Carrera 64,0.41349,TR,46.3
52,1369,Avenida Carrera 70,0.69904,TR,43.0
53,1370,Avenida Calle 116,0.30513,TR,37.7
54,1371,Avenida Calle 127,1.17644,TR,43.9
55,1372,Avenida Boyaca/Calle 129,1.30215,TR,47.1
56,1373,Avenida Calle 145/Calle 138/Carrera 76,1.00363,TR,47.6
57,1390,Transversal 35,0.13018,TR,30.5
58,1391,Avenida Calle 26 S,1.20624,TR,32.6
59,1392,Avenida Calle 8 S,0.61401,TR,33.4
60,1393,Calle 2C/Calle 2BBIS,0.69548,TR,32.5
61,1394,Avenida Calle 3,0.3297,TR,32.0
62,1395,Calle 5C,0.81912,TR,35.4
63,1396,Avenida De Las Américas/Avenida Calle 13,0.62998,TR,28.2
64,1431,Avenida Carrera 80/Avenida Agoberto Mejía Cifuentes,0.10385,TR,28.4
65,1430,Avenida Calle 57R S,1.33688,TR,38.3
66,1430,Avenida Calle 57R S,0.06314,TR,28.1
67,1431,Avenida Carrera 80/Avenida Agoberto Mejía Cifuentes,1.41294,TR,43.7
68,1511,Avenida Dario Echandia,0.02596,TR,31.0
69,1510,Carrera 12C,0.46043,TR,33.8
70,1509,Avenida Carrera 14,0.15653,TR,30.3
71,1507,Avenida Alberto Lleras Camargo,0.1896,TR,30.0
72,1506,Avenida Carrera 11,0.66029,TR,36.4
73,1505,Avenida Laureano Gomez/Diagonal 92/Avenida Carrera 15,0.45181,TR,43.3
74,1504,Avenida Carrera 19,0.59324,TR,45.1
75,1503,Avenida Paseo De Los Libertadores,0.71525,TR,47.0
76,1502,Carrera 50,0.27,TR,40.5
77,1501,Carrera 53,0.22185,TR,41.0
78,1500,Avenida Alfredo D. Bateman,0.30512,TR,36.5
79,1499,Carrera 64,0.33572,TR,45.3
80,1498,Avenida Carrera 68,0.44126,TR,48.3
81,1498,Avenida Carrera 68,0.173,TR,43.3
82,1499,Carrera 64,0.37224,TR,41.0
83,1500,Avenida Alfredo D. Bateman,0.38115,TR,38.3
84,1501,Carrera 53,0.27106,TR,44.8
85,1502,Carrera 50,0.21589,TR,44.8
86,1503,Avenida Paseo De Los Libertadores,0.55638,TR,47.7
87,1504,Avenida Carrera 19,0.4474,TR,37.9
88,1505,Avenida Laureano Gomez/Diagonal 92/Avenida Carrera 15,0.66004,TR,48.4
89,1506,Avenida Carrera 11,0.37589,TR,32.0
90,1507,Avenida Alberto Lleras Camargo,0.80956,TR,38.3
91,1509,Avenida Carrera 14,0.0169,TR,35.0
92,1510,Carrera 12C,0.161,TR,36.6
93,1511,Avenida Dario Echandia,0.46882,TR,33.1
94,1517,Carrera 6 11 Se,0.04145,TR,28.0
95,1516,Carrera 6,1.0087,TR,31.2
96,1515,Carrera 7,0.04151,TR,14.0
97,1514,Carrera 8,0.25959,TR,28.5
98,1513,Avenida Dario Echandia,0.26635,TR,23.1
99,1513,Avenida Dario Echandia,0.02887,TR,34.0
100,1514,Carrera 8,0.23512,TR,30.0
101,1515,Carrera 7,0.25959,TR,29.8
102,1516,Carrera 6,0.04151,TR,22.0
103,1517,Carrera 6 11 Se,1.04906,TR,30.5
104,1532,Avenida Boyaca,0.03441,TR,42.0
105,1531,Carrera 81,0.45046,TR,32.9
106,1530,Calle 127BIS,0.98733,TR,32.4
107,1528,Avenida Carrera 7,0.04148,TR,27.0
108,1527,Avenida Laureano Gomez/Avenida German Arciniegas,0.69097,TR,42.7
109,1526,Avenida Carrera 15,0.88754,TR,39.2
110,1525,Avenida Santa Bárbara,0.68752,TR,37.7
111,1524,Autopista Norte,0.77429,TR,39.2
112,1523,Carrera 51A,0.46078,TR,50.3
113,1522,Avenida José María Córdoba,0.54769,TR,49.7
114,1521,Avenida Las Villas,0.75304,TR,46.4
115,1520,Avenida Alfredo D. Bateman,0.19973,TR,27.9
116,1519,Avenida Boyaca,0.83473,TR,45.2
117,1530,Calle 127BIS,0.02173,TR,38.0
118,1531,Carrera 81,0.9656,TR,33.7
119,1532,Avenida Boyaca,0.48201,TR,32.7
120,1519,Avenida Boyaca,0.04112,TR,25.0
121,1520,Avenida Alfredo D. Bateman,0.93049,TR,39.0
122,1521,Avenida Las Villas,0.15362,TR,40.9
123,1522,Avenida José María Córdoba,0.71007,TR,47.4
124,1523,Carrera 51A,0.50928,TR,49.5
125,1524,Autopista Norte,0.82969,TR,48.3
126,1525,Avenida Santa Bárbara,0.41521,TR,36.0
127,1526,Avenida Carrera 15,0.68973,TR,36.5
128,1527,Avenida Laureano Gomez/Avenida German Arciniegas,1.28608,TR,40.8
129,1528,Avenida Carrera 7,0.31434,TR,33.2
130,1556,Carrera 91,0.06178,TR,21.0
131,1555,Carrera 94,0.20036,TR,30.6
132,1554,Carrera 100A,0.75071,TR,39.6
133,1553,Avenida Ciudad De Cali,0.58865,TR,31.8
134,1552,Avenida Longitudinal De Occidente,0.63775,TR,28.4
135,1534,Carrera 24,0.04471,TR,38.0
136,1535,Avenida General Santander,0.15551,TR,38.6
137,1536,Carrera 28,0.12073,TR,45.0
138,1537,Carrera 29,0.12872,TR,49.0
139,1538,Avenida Ciudad De Quito,0.13765,TR,49.9
140,1539,Carrera 31,0.11134,TR,50.0
141,1540,Carrera 32,0.10351,TR,37.0
142,1541,Carrera 35,0.39338,TR,46.2
143,1542,Avenida Cundinamarca,0.11381,TR,48.0
144,1543,Avenida Colon,0.26057,TR,49.6
145,1544,Avenida Ferrocarril Del Sur,0.14514,TR,47.3
146,1545,Avenida Calle 9/Avenida De Las Américas/Avenida Centenario,1.3298,TR,44.2
147,1546,Avenida Carrera 68,1.47011,TR,47.2
148,1547,Carrera 68B,0.28105,TR,50.0
149,1548,Avenida De La Constitución,0.25531,TR,41.9
150,1549,Carrera 69F/Calle 17,0.80129,TR,37.3
151,1550,Avenida Carrera 72,0.20204,TR,45.2
152,1550,Avenida Carrera 72,0.08627,TR,50.0
153,1549,Carrera 69F/Calle 17,0.16579,TR,50.0
154,1548,Avenida De La Constitución,0.77103,TR,43.5
155,1547,Carrera 68B,0.32746,TR,30.0
156,1546,Avenida Carrera 68,0.19055,TR,33.2
157,1545,Avenida Calle 9/Avenida De Las Américas/Avenida Centenario,1.84339,TR,45.6
158,1544,Avenida Ferrocarril Del Sur,0.92496,TR,41.1
159,1543,Avenida Colon,0.12863,TR,40.0
160,1542,Avenida Cundinamarca,0.26704,TR,43.8
161,1541,Carrera 35,0.15311,TR,48.0
162,1540,Carrera 32,0.34439,TR,42.4
163,1539,Carrera 31,0.11777,TR,40.0
164,1538,Avenida Ciudad De Quito,0.11124,TR,48.0
165,1537,Carrera 29,0.12688,TR,48.8
166,1536,Carrera 28,0.13341,TR,48.0
167,1535,Avenida General Santander,0.1248,TR,33.4
168,1534,Carrera 24,0.22285,TR,38.0
169,1496,Avenida Calle 170,0.02767,TR,30.0
170,1495,Calle 169B,0.56733,TR,37.6
171,1494,Calle 167,0.52282,TR,40.5
172,1493,Calle 163,0.38882,TR,31.0
173,1492,Avenida Carrera 72,1.17047,TR,40.3
174,1491,Avenida Calle 147,0.08481,TR,50.0
175,1490,Avenida Calle 138,0.77824,TR,33.9
176,1489,Avenida Iberia/Calle 134,0.44186,TR,44.2
177,1488,Avenida Alfredo D. Bateman/Calle 129,0.93234,TR,49.0
178,1487,Calle 127A,0.89012,TR,31.3
179,1486,Avenida Calle 127/Avenida Rodrigo Lara Bonilla,0.27922,TR,40.3
180,1485,Avenida Pepe Sierra/Avenida Calle 116,1.3073,TR,49.9
181,1484,Avenida Calle 80,1.26278,TR,47.9
182,1483,Calle 75,0.28035,TR,39.2
183,1482,Calle 74,0.20759,TR,46.7
184,1481,Calle 73A,0.05342,TR,50.0
185,1480,Avenida Calle 72,0.20857,TR,50.0
186,1479,Calle 71A,0.10168,TR,50.0
187,1478,Calle 71,0.07529,TR,50.0
188,1477,Calle 69A,0.27208,TR,50.0
189,1476,Calle 66A/Avenida Del Salitre,0.39609,TR,43.7
190,1475,Calle 66,0.08804,TR,40.2
191,1474,Calle 64B,0.48595,TR,49.8
192,1473,Avenida Calle 63,0.33024,TR,49.9
193,1472,Avenida Calle 53,0.46537,TR,46.1
194,1471,Calle 52,0.16761,TR,47.6
195,1470,Calle 51,0.11984,TR,50.0
196,1469,Avenida Calle 26,0.70472,TR,49.8
197,1468,Avenida Calle 24,0.46477,TR,49.9
198,1467,Calle 22D,0.51744,TR,50.0
199,1466,Avenida Calle 17/Avenida Centenario,1.30863,TR,44.2
200,1465,Avenida Alsacia,0.73544,TR,43.4
201,1464,Calle 11F,0.11763,TR,30.0
202,1463,Calle 9,0.65873,TR,44.5
203,1462,Avenida Calle 8,0.31946,TR,42.8
204,1461,Calle 7A,0.42856,TR,49.4
205,1460,Avenida De Las Américas,0.26433,TR,50.0
206,1459,Calle 5A,0.22228,TR,49.9
207,1458,Avenida Calle 3/Calle 3,0.30327,TR,38.1
208,1457,Calle 1,0.31009,TR,30.0
209,1456,Avenida Calle 26 S,0.50449,TR,41.5
210,1455,Calle 32 71F S/Calle 34 S,0.23131,TR,38.1
211,1454,Calle 37 S,0.27523,TR,44.3
212,1453,Carrera 72H,0.34022,TR,41.5
213,1452,Carrera 69,0.25965,TR,46.0
214,1451,Carrera 68M,0.08858,TR,49.0
215,1450,Calle 39B S,0.17469,TR,41.1
216,1449,Avenida Poporo Quimbaya/Calle 40 S,0.39027,TR,48.8
217,1448,Calle 43A S,0.22194,TR,48.2
218,1447,Calle 44 S,0.25768,TR,49.6
219,1446,Avenida Calle 45A S,0.45276,TR,49.9
220,1445,Diagonal 51 S,0.46118,TR,46.5
221,1444,Diagonal 51A S,0.05419,TR,40.0
222,1443,Diagonal 52 S,0.30136,TR,44.0
223,1442,Transversal 44,0.11779,TR,50.0
224,1441,Transversal 30,0.74816,TR,46.4
225,1440,Carrera 25,0.44066,TR,44.7
226,1439,Avenida Carrera 24,0.55749,TR,44.8
227,1438,Carrera 19C/Avenida Ciudad De Villavicencio,0.41828,TR,46.2
228,1437,Avenida Calle 60G S/Diagonal 62 S,0.7266,TR,43.5
229,1436,Carrera 18J S,0.7473,TR,45.8
230,1435,Carrera 17A,0.90132,TR,47.4
231,1434,Carrera 15,0.87773,TR,42.3
232,1433,Autopista Al Llano,0.64337,TR,47.9
233,1552,Avenida Longitudinal De Occidente,0.04423,TR,23.0
234,1553,Avenida Ciudad De Cali,0.67743,TR,23.7
235,1554,Carrera 100A,0.50715,TR,33.7
236,1555,Carrera 94,0.35494,TR,27.4
237,1433,Autopista Al Llano,0.02925,TR,50.0
238,1434,Carrera 15,0.56761,TR,32.6
239,1435,Carrera 17A,0.89448,TR,47.1
240,1436,Carrera 18J S,0.89593,TR,49.7
241,1437,Avenida Calle 60G S/Diagonal 62 S,0.66525,TR,47.1
242,1438,Carrera 19C/Avenida Ciudad De Villavicencio,0.87734,TR,32.4
243,1439,Avenida Carrera 24,0.50064,TR,29.3
244,1440,Carrera 25,0.40536,TR,42.8
245,1441,Transversal 30,0.60091,TR,42.6
246,1442,Transversal 44,0.60213,TR,50.0
247,1443,Diagonal 52 S,0.19623,TR,33.9
248,1444,Diagonal 51A S,0.20814,TR,47.1
249,1445,Diagonal 51 S,0.06305,TR,39.7
250,1446,Avenida Calle 45A S,0.32623,TR,49.0
251,1447,Calle 44 S,0.57242,TR,46.0
252,1448,Calle 43A S,0.26558,TR,40.0
253,1449,Avenida Poporo Quimbaya/Calle 40 S,0.23099,TR,48.5
254,1450,Calle 39B S,0.38056,TR,45.2
255,1451,Carrera 68M,0.18097,TR,44.3
256,1452,Carrera 69,0.08498,TR,50.0
257,1453,Carrera 72H,0.27215,TR,39.4
258,1454,Calle 37 S,0.34584,TR,46.6
259,1455,Calle 32 71F S/Calle 34 S,0.25407,TR,48.2
260,1456,Avenida Calle 26 S,0.23181,TR,49.7
261,1457,Calle 1,0.50945,TR,44.0
262,1458,Avenida Calle 3/Calle 3,0.30894,TR,44.3
263,1459,Calle 5A,0.33002,TR,40.1
264,1460,Avenida De Las Américas,0.19676,TR,49.8
265,1461,Calle 7A,0.26335,TR,46.2
266,1462,Avenida Calle 8,0.39978,TR,45.1
267,1463,Calle 9,0.34112,TR,30.1
268,1464,Calle 11F,0.66254,TR,40.8
269,1465,Avenida Alsacia,0.09881,TR,29.7
270,1466,Avenida Calle 17/Avenida Centenario,0.93598,TR,43.4
271,1467,Calle 22D,1.1252,TR,44.7
272,1468,Avenida Calle 24,0.50241,TR,40.0
273,1469,Avenida Calle 26,0.26305,TR,40.0
274,1470,Calle 51,0.9089,TR,48.8
275,1471,Calle 52,0.11984,TR,48.5
276,1472,Avenida Calle 53,0.17937,TR,41.4
277,1473,Avenida Calle 63,0.50335,TR,48.5
278,1474,Calle 64B,0.28209,TR,50.0
279,1475,Calle 66,0.4846,TR,50.0
280,1476,Calle 66A/Avenida Del Salitre,0.09657,TR,34.4
281,1477,Calle 69A,0.45837,TR,50.0
282,1478,Calle 71,0.16215,TR,50.0
283,1479,Calle 71A,0.12588,TR,50.0
284,1480,Avenida Calle 72,0.09063,TR,50.0
285,1481,Calle 73A,0.20942,TR,50.0
286,1482,Calle 74,0.05496,TR,50.0
287,1483,Calle 75,0.20787,TR,42.3
288,1484,Avenida Calle 80,1.03492,TR,49.0
289,1485,Avenida Pepe Sierra/Avenida Calle 116,0.89303,TR,48.6
290,1486,Avenida Calle 127/Avenida Rodrigo Lara Bonilla,0.99887,TR,46.2
291,1487,Calle 127A,0.24075,TR,41.2
292,1488,Avenida Alfredo D. Bateman/Calle 129,1.28653,TR,39.3
293,1489,Avenida Iberia/Calle 134,0.55562,TR,39.5
294,1490,Avenida Calle 138,0.44365,TR,45.6
295,1491,Avenida Calle 147,0.74117,TR,33.6
296,1492,Avenida Carrera 72,0.08074,TR,30.0
297,1493,Calle 163,1.16839,TR,38.8
298,1494,Calle 167,0.39418,TR,40.6
299,1495,Calle 169B,0.52538,TR,38.7
300,1496,Avenida Calle 170,0.5839,TR,40.0
301,1558,Carrera 115/Avenida Longitudinal De Occidente,0.04414,TR,25.0
302,1559,Carrera 111,0.48402,TR,42.4
303,1560,Avenida Carrera 104,0.57337,TR,37.1
304,1561,Calle 141A 99B,0.65759,TR,44.0
305,1562,Calle 139,0.72046,TR,36.5
306,1563,Carrera 92,0.08572,TR,35.7
307,1564,Carrera 91,0.0861,TR,40.0
308,1565,Transversal 88,0.28506,TR,38.4
309,1566,Calle 137,0.41778,TR,45.6
310,1567,Carrera 76/Avenida Alfredo D. Bateman,0.61102,TR,46.9
311,1567,Carrera 76/Avenida Alfredo D. Bateman,0.11651,TR,46.0
312,1566,Calle 137,0.60104,TR,47.7
313,1565,Transversal 88,0.40071,TR,50.0
314,1564,Carrera 91,0.22087,TR,45.1
315,1563,Carrera 92,0.09084,TR,39.0
316,1562,Calle 139,0.07275,TR,39.0
317,1561,Calle 141A 99B,0.71,TR,43.2
318,1560,Avenida Carrera 104,0.78219,TR,38.5
319,1559,Carrera 111,0.5121,TR,48.4
320,1558,Carrera 115/Avenida Longitudinal De Occidente,0.4716,TR,36.8
321,1569,Avenida Boyaca,0.14632,TR,24.0
322,1570,Avenida Las Villas,0.38576,TR,25.7
323,1570,Avenida Las Villas,0.04568,TR,23.0
324,1569,Avenida Boyaca,0.48087,TR,26.2
325,1575,Avenida Santa Bárbara,0.01829,TR,35.0
326,1574,Autopista Norte,0.8039,TR,35.0
327,1573,Carrera 50,0.12405,TR,40.9
328,1572,Carrera 54,0.30615,TR,34.6
329,1580,Carrera 8G,0.03093,TR,23.0
330,1579,Avenida Laureano Gomez,0.16628,TR,21.1
331,1578,Carrera 12B,0.10817,TR,22.1
332,1577,Carrera 17,0.90202,TR,25.1
333,1572,Carrera 54,0.04008,TR,27.0
334,1573,Carrera 50,0.26607,TR,40.2
335,1574,Autopista Norte,0.56116,TR,46.1
336,1575,Avenida Santa Bárbara,0.37793,TR,30.1
337,1593,Avenida Carrera 50,0.03369,TR,24.0
338,1594,Avenida Del Congreso Eucaristico,1.60526,TR,28.8
339,1595,Carrera 68B,0.2525,TR,30.0
340,1596,Avenida De La Constitución,0.3046,TR,33.1
341,1596,Avenida De La Constitución,0.02216,TR,46.0
342,1595,Carrera 68B,0.28107,TR,32.0
343,1594,Avenida Del Congreso Eucaristico,0.28142,TR,24.3
344,1593,Avenida Carrera 50,1.60965,TR,28.1
345,1591,Carrera 4,0.03877,TR,48.0
346,1590,Avenida Del Tam 17,1.19313,TR,40.5
347,1589,Calle 17 (Norte),0.74582,TR,39.7
348,1588,Avenida Carrera 116,0.36514,TR,45.9
349,1587,Carrera 106,1.08315,TR,43.1
350,1586,Carrera 98,0.87269,TR,42.0
351,1585,Calle 17 (Sur),1.20698,TR,46.4
352,1584,Avenida Carrera 86,0.65556,TR,44.0
353,1583,Avenida Carrera 80,0.53443,TR,45.7
354,1582,Avenida Boyaca,1.06231,TR,46.7
355,1582,Avenida Boyaca,0.40463,TR,47.7
356,1583,Avenida Carrera 80,0.65839,TR,46.6
357,1584,Avenida Carrera 86,0.74838,TR,35.8
358,1585,Calle 17 (Sur),0.53535,TR,41.7
359,1586,Carrera 98,1.09763,TR,49.5
360,1587,Carrera 106,0.88551,TR,40.1
361,1588,Avenida Carrera 116,1.06887,TR,47.1
362,1589,Calle 17 (Norte),0.46078,TR,43.0
363,1590,Avenida Del Tam 17,0.66622,TR,39.4
364,1591,Carrera 4,1.23993,TR,45.5
365,1606,Avenida Carrera 7,0.06579,TR,22.0
366,1605,Avenida Laureano Gomez,0.93905,TR,29.6
367,1604,Carrera 17A,0.91054,TR,29.5
368,1603,Autopista Norte,1.13173,TR,38.8
369,1602,Carrera 55/Carrera 55A,0.58523,TR,32.9
370,1601,Carrera 58/Calle 169B,0.30083,TR,43.8
371,1600,Avenida Boyaca,1.19103,TR,41.3
372,1599,Carrera 78,0.44352,TR,39.0
373,1598,Calle 169B 90,0.91041,TR,41.0
374,1623,Carrera 69B,0.07855,TR,25.0
375,1622,Carrera 69,0.14793,TR,26.9
376,1621,Carrera 68F,0.3298,TR,23.2
377,1598,Calle 169B 90,0.04857,TR,44.0
378,1599,Carrera 78,0.6641,TR,56.4
379,1600,Avenida Boyaca,0.47068,TR,34.6
380,1601,Carrera 58/Calle 169B,1.15083,TR,34.7
381,1602,Carrera 55/Carrera 55A,0.26024,TR,29.3
382,1603,Autopista Norte,1.27502,TR,38.7
383,1604,Carrera 17A,0.51627,TR,42.2
384,1605,Avenida Laureano Gomez,0.91562,TR,37.2
385,1606,Avenida Carrera 7,1.01202,TR,28.2
386,1621,Carrera 68F,0.06398,TR,22.0
387,1622,Carrera 69,0.26582,TR,20.0
388,1627,Avenida Caracas,0.0182,TR,33.6
389,1626,Carrera 13A,0.09485,TR,24.0
390,1625,Carrera 13,0.22537,TR,23.1
391,1625,Carrera 13,0.07098,TR,33.3
392,1626,Carrera 13A,0.18011,TR,22.6
393,1627,Avenida Caracas,0.11306,TR,24.4
394,1631,Avenida Alberto Lleras Camargo,0.01298,TR,53.0
395,1629,Avenida Caracas,0.02937,TR,33.1
396,1630,Carrera 13,0.15145,TR,28.7
397,1631,Avenida Alberto Lleras Camargo,0.14005,TR,23.4
398,1639,Avenida Circunvalar,0.00895,TR,38.0
399,1638,Calle 36,0.25927,TR,30.6
400,1619,Avenida Versalles,0.15913,TR,36.0
401,1618,Carrera 100,1.45071,TR,30.2
402,1617,Avenida Ciudad De Cali,1.45457,TR,36.7
403,1616,Carrera 75,0.87042,TR,35.3
404,1615,Avenida Carrera 72,0.5804,TR,32.3
405,1614,Avenida De La Constitución (Norte),0.43612,TR,41.2
