NID,PC,DE,LE,TY,FF
0,4121,Viaducto Rio de la Piedad,0.01535,TR,12.68
1,13797,Vainilla/Eje 3 Sur,1.02669,TR,22.8
2,4120,Av Te/Eje 4 S/San Rafael Atlixco,0.14489,TR,17.71
3,4119,Av Canal de Tezontle,0.65704,TR,26.97
4,4118,Eje 5 S/Canal Churubusco,0.39789,TR,22.93
5,4118,Eje 5 S/Canal Churubusco,0.02222,TR,18.64
6,4119,Av Canal de Tezontle,0.35086,TR,22.12
7,4120,Av Te/Eje 4 S/San Rafael Atlixco,0.64896,TR,26.28
8,13797,Vainilla/Eje 3 Sur,0.13825,TR,17.46
9,4121,Viaducto Rio de la Piedad,1.06354,TR,23.49
10,4098,Paseo Parque del Río/Caporales,0.01947,TR,22.99
11,4099,Calz Ermita Iztapalapa/Eje 8 S,0.3827,TR,17.46
12,4100,Oriente 160/Av Agustin Yanez,0.5735,TR,20.01
13,4101,Av Rio Churubusco/Circuito Interior,0.23896,TR,19.01
14,4102,Playa Pie de la Cuesta/Eje 6 S,0.41832,TR,23.05
15,4640,Playa Villa del Mar/Eje 5 S,0.3124,TR,25.17
16,4103,Playa Roqueta/Av Canal de Apatlaco,0.16054,TR,22.93
17,4104,Playa Erizo/Av Juan Alvarez,0.25417,TR,24.61
18,4105,Av Santiago,0.27658,TR,24.67
19,13044,Avenida Congreso de la Union,0.46812,TR,24.98
20,13045,Eje 4 S/Av Pres Plutarco Eli Calles,0.09929,TR,18.58
21,13046,Avenida Coruña,0.24182,TR,24.92
22,13047,Viaducto Avenida Rio de la Piedad,0.30341,TR,22.25
23,13048,Eje 3 S,0.22366,TR,18.45
24,13049,Eje 2 S,0.32348,TR,12.05
25,4128,Av 412/Eje 5 N,0.09923,TR,24.85
26,4127,Av 412/Av 661/Eje 5 N,0.14186,TR,24.85
27,4126,Calle 613,0.79921,TR,24.85
28,4125,Av 606,0.24948,TR,24.85
29,4124,Av 602/Av 506/Av 508,0.35572,TR,24.85
30,4123,Av Tahel,0.24657,TR,24.85
31,4122,Av Rio Consulado/Circuito Interior,0.20421,TR,24.85
32,4122,Av Rio Consulado/Circuito Interior,0.0343,TR,31.07
33,4123,Av Tahel,0.26991,TR,31.07
34,4124,Av 602/Av 506/Av 508,0.36694,TR,31.07
35,4125,Av 606,0.2944,TR,31.07
36,4126,Calle 613,0.50946,TR,24.85
37,4127,Av 412/Av 661/Eje 5 N,0.47423,TR,27.71
38,4128,Av 412/Eje 5 N,0.23804,TR,31.07
39,4129,Blvd Adolfo Ruiz Cortines,0.19623,TR,24.73
40,4130,Cañaverales,0.19297,TR,24.17
41,4131,Calz del Hueso/Eje 1 Oriente,0.39547,TR,23.18
42,4132,Rancho Vista Hermosa,0.37933,TR,26.97
43,4133,Calz de las Bombas,0.34263,TR,26.22
44,4133,Calz de las Bombas,0.00498,TR,21.75
45,4132,Rancho Vista Hermosa,0.33927,TR,27.46
46,4131,Calz del Hueso/Eje 1 Oriente,0.3858,TR,24.98
47,4130,Cañaverales,0.38681,TR,22.49
48,4129,Blvd Adolfo Ruiz Cortines,0.36764,TR,20.82
49,4141,Calz de las Armas,0.24735,TR,31.57
50,4140,Renacimiento,0.20017,TR,30.76
51,4139,Hacienda de Sotelo/Av del Rosario,0.36624,TR,28.27
52,4138,Rafael Alducin,0.56282,TR,28.46
53,4137,16 de Septiembre/Av Tezozomoc,0.50936,TR,28.71
54,4136,16 de Septiembre/Eje 3 N,0.90082,TR,41.13
55,4135,Av Invierno,0.61926,TR,45.61
56,4134,Calz México Tacuba,0.69449,TR,42.56
