NID,PC,DE,LE,TY,FF
0,13643,Connector I-80/Garden St Pky/Exit 62,0.04554,EX,55.3
1,13642,Riverview Ave/Exit 63,1.27222,EX,55.3
2,4335,I-80,0.92276,EX,55.3
3,4334,RT-17/Exit 64,0.55189,EX,55.3
4,4333,Polifly Rd/Exit 64B,0.23932,EX,55.3
5,4332,Green St/Exit 65,0.40592,EX,55.3
6,4331,Hudson St/Exit 66,0.77646,EX,55.3
7,4330,2nd St/Exit 67,0.47758,EX,55.3
8,4329,I-95/New Jersey Tpke,0.69537,EX,55.3
9,4329,I-95/New Jersey Tpke,0.15569,EX,55.3
10,4330,2nd St/Exit 67,0.65068,EX,55.3
11,4331,Hudson St/Exit 66,0.64034,EX,55.3
12,4332,Green St/Exit 65,0.74314,EX,55.3
13,4333,Polifly Rd/Exit 64B,0.31098,EX,55.3
14,4334,RT-17/Exit 64,0.51333,EX,55.3
15,4335,I-80,0.28609,EX,55.3
16,13642,Riverview Ave/Exit 63,0.92669,TR,55.3
17,13643,Connector I-80/Garden St Pky/Exit 62,1.06044,TR,55.3
18,4309,Two Bridges Rd/Exit 52,4.44914,TR,65.24
19,4308,US-46/RT-23/Exit 53,1.2832,TR,56.86
20,4307,Minnisink Rd/Exit 54,0.7434,TR,55.3
21,4306,Union Blvd/Exit 55,0.6857,TR,55.3
22,4305,Squirrelwood Rd/Exit 56,1.90733,TR,55.3
23,4304,RT-19/Main St/Exit 57,1.2162,TR,55.3
24,4303,Madison Ave/Exit 58,1.04443,TR,55.3
25,4302,CR-624/Market St/Exit 59,0.55353,TR,55.3
26,4301,RT-20/Exit 60,0.32888,TR,55.3
27,4300,CR-507/Exit 61,0.48224,TR,55.3
28,4299,Garden State Pky/Exit 62,1.6469,TR,55.3
29,4298,Saddle River Rd/Exit 62B,0.58187,TR,55.3
30,4297,Riverview Ave/Exit 63,0.88104,TR,55.3
31,4296,RT-17/Exit 64,1.24546,TR,55.3
32,4295,Polifly Rd/Exit 64B,0.24422,TR,55.3
33,4294,Green St/Exit 65,0.41037,TR,55.3
34,4293,Hudson St/Exit 66,0.76902,TR,55.3
35,4292,2nd St/Exit 67,0.48492,TR,55.3
36,4291,I-95/New Jersey Tpke/Exit 68,0.79784,TR,55.3
37,4354,Pleasant Valley Way/Exit 7,1.30013,TR,63.75
38,4353,CR-577/Prospect Ave/Exit 8,0.83541,TR,55.3
39,4352,Mt Pleasant Ave/Exit 9,1.03007,TR,55.3
40,4351,CR-508/Exit 10,0.4394,TR,55.3
41,4350,Whittingham Pl,0.09706,TR,55.3
42,4349,Essex Ave/Exit 11,0.42988,TR,55.3
43,4348,Center St/Exit 11A/Exit 11B,0.3823,TR,55.3
44,4347,Garden State Pky/Oraton Pky,1.54077,TR,55.3
45,4346,1st St/6th St/Orange St/Exit 13,0.83819,TR,51.82
46,4345,Clifton Ave/Exit 14,0.50119,TR,49.46
