NID,PC,DE,LE,TY,FF
0,26,Newlands Road,0.01113,TR,54.0
1,10347,Struben Road,0.61069,TR,56.3
2,25,Simon Van Der Stel Freeway,1.20055,TR,57.4
3,29,Rhodes Drive,0.01719,TR,38.0
4,28,Edinburg Drive,0.63291,TR,58.9
5,28,Edinburg Drive,0.01558,TR,49.0
6,29,Rhodes Drive,0.63262,TR,48.9
7,31,Rhodes Drive,0.05425,TR,31.0
8,32,Union Avenue,1.84547,TR,71.9
9,25,Simon Van Der Stel Freeway,0.06224,TR,60.0
10,10347,Struben Road,1.13343,TR,59.2
11,26,Newlands Road,0.60612,TR,55.5
12,32,Union Avenue,0.17478,TR,78.9
13,31,Rhodes Drive,1.58225,TR,67.3
14,37,Settlers Way,0.63649,TR,60.0
15,7660,Rhodes Avenue,0.32126,TR,67.1
16,36,Woolsack Drive,0.28913,TR,77.6
17,35,Rugby Road,0.87266,TR,74.6
18,34,Princess Anne Avenue,0.55909,TR,73.7
19,34,Princess Anne Avenue,0.0231,TR,72.0
20,35,Rugby Road,0.41733,TR,67.0
21,36,Woolsack Drive,0.94798,TR,76.7
22,7660,Rhodes Avenue,0.20745,TR,78.1
23,37,Settlers Way,0.84415,TR,66.7
24,56,Strand Street,0.01505,TR,31.0
25,10380,Waterkant Street,0.08371,TR,29.0
26,55,Somerset Road,0.08102,TR,23.7
27,54,Hans Strijdom Avenue,0.3509,TR,25.2
28,53,Coen Steytler Avenue,0.15827,TR,27.8
29,53,Coen Steytler Avenue,0.02019,TR,34.0
30,54,Hans Strijdom Avenue,0.23367,TR,27.3
31,55,Somerset Road,0.27028,TR,32.7
32,10380,Waterkant Street,0.0802,TR,28.0
33,56,Strand Street,0.09786,TR,24.7
34,65,Russel Street,0.08068,TR,39.0
35,64,Eastern Boulevard,0.43766,TR,42.4
36,63,Buitenkant Street,0.37174,TR,40.8
37,18453,Lower Plein Street,0.22054,TR,27.7
38,62,Adderley Street,0.16228,TR,24.5
39,61,Long Street,0.24514,TR,21.8
40,60,Loop Street,0.07892,TR,20.0
41,59,Bree Street,0.09317,TR,20.0
42,58,Buitengracht Street,0.11653,TR,19.8
43,3604,High Level Road,0.90826,TR,40.0
44,69,Grey Street,0.05272,TR,44.0
45,68,Nelson Street,0.39482,TR,45.0
46,67,Russel Street,0.28594,TR,43.8
47,3604,High Level Road,0.01646,TR,47.0
48,58,Buitengracht Street,0.90555,TR,35.6
49,59,Bree Street,0.1124,TR,19.9
50,60,Loop Street,0.08035,TR,18.0
51,61,Long Street,0.08029,TR,19.0
52,62,Adderley Street,0.25941,TR,22.4
53,18453,Lower Plein Street,0.14636,TR,25.7
54,63,Buitenkant Street,0.22391,TR,28.1
55,64,Eastern Boulevard,0.50316,TR,48.4
56,65,Russel Street,0.36869,TR,47.5
57,67,Russel Street,0.08495,TR,44.0
58,68,Nelson Street,0.19795,TR,47.3
59,69,Grey Street,0.44754,TR,47.3
60,72,Salt River Road,0.04002,TR,29.5
61,7634,Lower Church Street,1.03823,TR,37.8
62,10252,Sussex Street,0.1296,TR,36.9
63,71,Grey Street,0.36751,TR,40.9
64,71,Grey Street,0.07582,TR,46.0
