NID,PC,DE,LE,TY,FF
0,29132,Mountnessing,0.14187,TR,40.1
1,29133,Mountnessing,2.75247,TR,60.2
2,29132,Mountnessing,2.5083,TR,57.1
3,30315,A41 - Nw4,0.0507,TR,28.4
4,30316,A502 - Nw4,0.5641,TR,38.8
5,30316,A502 - Nw4,0.04895,TR,35.0
6,30315,A41 - Nw4,0.56585,TR,35.7
7,30303,Potters Bar,0.03503,TR,35.0
8,30304,London Colney,8.06789,TR,58.2
9,30307,Colney Street,2.62085,TR,54.1
10,30307,Colney Street,0.02443,TR,30.0
11,30306,London Colney,2.58399,TR,58.9
12,30303,Potters Bar,8.04805,TR,58.4
13,30308,Nw4,0.04905,TR,36.4
14,30309,Nw4,0.68307,TR,38.4
15,30310,N3,1.38357,TR,42.0
16,30311,Nw7,2.83206,TR,40.9
17,30312,Nw7,0.83178,TR,42.2
18,30313,Nw7 North,0.53087,TR,44.9
19,30314,Arkley,1.43905,TR,44.0
20,30314,Arkley,0.08119,TR,27.8
21,30313,Nw7 North,1.35785,TR,45.4
22,30312,Nw7,0.58793,TR,42.6
23,30311,Nw7,0.88965,TR,45.5
24,30310,N3,2.85625,TR,41.5
25,30309,Nw4,1.32071,TR,41.1
26,30308,Nw4,0.71637,TR,40.3
27,30324,N8,0.03587,TR,20.0
28,30325,N6,1.17453,TR,19.8
29,30325,N6,0.01325,TR,20.0
30,30324,N8,1.19716,TR,19.9
31,30323,N6,0.029,TR,20.0
32,30322,N6,0.72316,TR,19.9
33,30321,Muswell Hill,1.38036,TR,20.0
34,30320,N10,0.27709,TR,20.0
35,30319,N10,0.52725,TR,20.0
36,30318,Friern Barnet,2.26775,TR,34.4
37,30317,Whetstone,2.15952,TR,43.2
38,30333,A5205,0.05545,TR,20.0
39,30332,A41,0.97562,TR,20.2
40,30317,Whetstone,0.08526,TR,36.5
41,30318,Friern Barnet,2.07426,TR,42.9
42,30319,N10,2.26983,TR,33.8
43,30320,N10,0.64347,TR,20.0
44,30321,Muswell Hill,0.25934,TR,20.0
45,30322,N6,1.37571,TR,19.9
46,30323,N6,0.75217,TR,20.0
47,30332,A41,0.02421,TR,46.0
48,30333,A5205,1.00687,TR,20.0
49,30336,Ec1,0.05909,TR,19.0
50,30337,Ec4,0.40779,TR,17.7
51,30334,Marylebone,0.02155,TR,20.0
52,30335,W1,0.98092,TR,19.7
53,30335,W1,0.03846,TR,20.0
54,30334,Marylebone,1.19032,TR,19.9
55,30338,B510 - Nw6,0.05958,TR,20.0
56,30339,A5 - Nw6,0.78314,TR,19.6
57,30337,Ec4,0.06483,TR,20.0
58,30336,Ec1,0.42908,TR,19.7
59,30339,A5 - Nw6,0.04955,TR,20.0
60,30338,B510 - Nw6,0.79317,TR,19.4
61,30340,N19,0.02482,TR,34.0
62,30341,N6,0.55875,TR,20.0
63,30342,N6,0.5325,TR,20.0
64,30343,Nw3,2.88506,TR,21.8
65,30343,Nw3,0.01963,TR,20.0
66,30342,N6,2.89619,TR,21.7
67,30341,N6,0.5325,TR,20.0
68,30340,N19,0.59704,TR,20.5
69,30344,Nw5,0.01996,TR,20.0
70,30345,Nw3,1.55564,TR,20.0
71,30346,Nw3 West,0.50548,TR,20.0
72,30347,Nw3,0.31299,TR,20.0
73,30348,Nw1,0.04255,TR,20.0
74,30349,Nw3,1.84519,TR,20.0
75,30349,Nw3,0.00896,TR,20.0
76,30348,Nw1,1.90795,TR,19.9
77,30350,Holloway,0.02615,TR,20.0
78,30351,Islington,2.05403,TR,19.7
79,30352,Islington,0.07705,TR,20.0
80,30353,Camden,0.32895,TR,19.6
81,30353,Camden,0.02289,TR,20.0
82,30352,Islington,0.38311,TR,19.6
83,30347,Nw3,0.08145,TR,20.0
84,30346,Nw3 West,0.23154,TR,19.8
85,30345,Nw3,0.53464,TR,20.0
86,30344,Nw5,1.5756,TR,19.8
87,47742,A5202/Royal College Street,0.01734,TR,20.0
88,30354,Nw1,0.1432,TR,19.8
89,30351,Islington,0.01132,TR,17.0
90,30350,Holloway,2.06886,TR,20.0
91,30354,Nw1,0.02108,TR,20.0
