model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
linearregression,NewYorkCity,50,1,6,"(946, 16)",110.92857142857143,55.57142857142857,113.97286248974486,149.85032067622703,0.12715961298053577,0.22623324684126517,14
lasso,Mumbai,105,1,6,"(505, 16)",116.33333333333333,58.166666666666664,5.767819572426531,1.1495816110985877,0.0,0.0,6
linearregression,Mumbai,70,1,6,"(259, 16)",115.0,57.5,8.791504093310252,1.1653376369914077,0.14029171859532424,0.01169446447894168,2
lasso,Capetown,30,1,6,"(314, 16)",110.75,55.25,4.83410299405768,1.2783929170640693,0.3793638780167077,0.12026440309470879,4
linearregression,MexicoCity,30,1,6,"(235, 16)",113.5,56.5,1592.431055620016,1580.1520151130283,0.18945185860220953,0.18928355245332468,2
linearregression,Singapore,30,1,6,"(173, 16)",115.0,58.0,11.14663818168919,7.295854343549654,0.18379957102787492,0.5191929077687326,2
lasso,London,10,1,6,"(103, 16)",69.0,34.0,8.999414935495711,0.04507113909264948,0.19126576994980166,0.03355467434617293,2
linearregression,Capetown,50,1,6,"(690, 16)",113.9,56.9,441.06924067961063,491.75392542145664,0.18123277093461437,0.30657575765097494,10
linearregression,MexicoCity,90,1,6,"(1251, 16)",115.5,57.666666666666664,184.39804674586424,469.1174737089073,0.10986777393300261,0.15514161210059513,18
ridge,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,8.352651083028572,3.601174638605819,0.4096862148801174,0.13013679396944006,2
lasso,Capetown,10,1,6,"(48, 16)",32.0,16.0,5.274998329082072,0.4477687419642975,0.5106619987269255,0.010661998726925526,2
lasso,MexicoCity,70,1,6,"(861, 16)",114.66666666666667,57.333333333333336,7.982923622817778,0.7496430814896435,0.025741214597259976,0.046020617998790564,12
ridge,Mumbai,90,1,6,"(386, 16)",115.0,57.25,6.362541567269075,0.4186802461541266,0.3205235429257348,0.04661257700690693,4
lasso,Mumbai,50,1,6,"(153, 16)",102.0,51.0,8.11379991728855,0.8386230949959943,0.0,0.0,2
lasso,Zurich,25,1,6,"(47, 16)",31.0,16.0,12.688690203082636,1.1227480323341519,0.20816326530612245,0.08979591836734696,2
lasso,Auckland,10,1,6,"(55, 16)",36.0,19.0,6.843689363309805,1.9134413775566537,0.4428067009671518,0.08295007014277911,2
lasso,Mumbai,45,1,6,"(131, 16)",87.0,44.0,8.822634221177896,0.3952349108114763,0.0,0.0,2
lasso,NewYorkCity,50,1,6,"(946, 16)",117.71428571428571,58.92857142857143,7.7246512865074095,0.9049880257957924,0.03379195404102205,0.05936522936893628,14
lasso,Zurich,85,1,6,"(330, 16)",120.0,60.25,8.473272192426688,1.147172343756838,0.06081804787946046,0.03736271217045642,4
lasso,Mumbai,90,1,6,"(386, 16)",116.0,58.0,7.311761996570792,1.0070302949572947,0.0,0.0,4
linearregression,Mumbai,50,1,6,"(153, 16)",102.0,51.0,10.858472887567078,3.9232925785107073,0.09945719051511082,0.1371340579057,2
lasso,Singapore,70,1,6,"(714, 16)",119.2,59.4,4.74254819252427,0.9166534979467453,0.13372440931492777,0.08569526858887554,10
linearregression,NewYorkCity,70,1,6,"(1681, 16)",114.16666666666667,57.083333333333336,223.89568707259977,433.10763049552844,0.17129780584765034,0.18785460191928552,24
ridge,Mumbai,25,1,6,"(54, 16)",36.0,18.0,9.78601036368333,0.8244142903343441,0.06612375886360367,0.0013718006390606163,2
linearregression,Singapore,25,1,6,"(132, 16)",88.0,44.0,3.7760827878136665,0.5180212945751521,0.6763722988609507,0.08294698801101041,2
lasso,Zurich,105,1,6,"(451, 16)",115.33333333333333,58.0,8.821452632334832,1.2130969016870463,0.05930432128351515,0.06463527186625351,6
lasso,Auckland,70,1,6,"(1031, 16)",114.57142857142857,57.142857142857146,3.1274508657547644,0.8615441175478559,0.0976438806853203,0.0994706304138235,14
ridge,Singapore,90,1,6,"(1082, 16)",116.4375,58.3125,3.721724172189255,1.0913698284992022,0.4222113371449912,0.13449592082590764,16
linearregression,MexicoCity,70,1,6,"(861, 16)",118.0,59.0,125.52745990902541,183.80531984876424,0.06445396273605018,0.15700108704477375,12
ridge,Zurich,70,1,6,"(247, 16)",114.5,57.0,9.331884791920979,0.3950820762549885,0.3429921630912471,0.011583579447917935,2
lasso,Bogota,50,1,6,"(265, 16)",116.0,57.75,7.701996727301797,0.9486979540624768,0.5627694050294535,0.04256701609656364,4
linearregression,Singapore,90,1,6,"(1082, 16)",110.5,55.4375,6.3513460826827615,8.402556499910894,0.39999502677791476,0.1676700839421844,16
lasso,Capetown,90,1,6,"(1614, 16)",113.20833333333333,56.708333333333336,3.742116058275837,1.0078629622400175,0.007244584179675925,0.021972349419615116,24
lasso,Mumbai,70,1,6,"(259, 16)",113.0,56.5,7.8291336365539665,1.213515208296431,0.0,0.0,2
ridge,Mumbai,30,1,6,"(72, 16)",48.0,24.0,10.381653141591901,2.1956614485339783,0.46894102424066303,0.02630403793929309,2
ridge,Auckland,10,1,6,"(55, 16)",36.0,19.0,3.4473145942502814,1.0198044821076184,0.755500401755268,0.09434337696187955,2
linearregression,Mumbai,85,1,6,"(355, 16)",112.75,56.0,22.88821978100654,4.262615788578174,0.1325582656185175,0.3105842693781849,4
linearregression,NewYorkCity,30,1,6,"(386, 16)",118.75,59.25,27.83071070002548,28.256700895189162,0.29335027582989226,0.10917250395717688,4
