model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
linearregression,London,30,1,6,"(723, 16)",113.9,56.9,70.81823083959401,74.31392047767262,0.1321703071902865,0.2395879058063612,10
lasso,Zurich,105,1,6,"(451, 16)",119.83333333333333,59.833333333333336,8.471676563947382,1.213432936720274,0.022439226431406445,0.035462332496751806,6
ridge,Istanbul,50,1,6,"(1652, 16)",115.54166666666667,57.666666666666664,2.830570393325458,0.6705846803842298,0.6202928413736598,0.06657495749700366,24
linearregression,MexicoCity,90,1,6,"(1251, 16)",113.77777777777777,57.05555555555556,71.67817365251567,92.11308159276587,0.031395973584888014,0.1470771507025969,18
randomforestregressor,Istanbul,30,1,6,"(740, 16)",114.5,57.4,4.280252666591279,1.6534421999351385,0.6694333016646843,0.06713713746528438,10
randomforestregressor,Zurich,65,1,6,"(219, 16)",117.0,58.5,7.345500346686463,0.11605098880764064,0.41635824768164165,0.09165550293222502,2
ridge,Bogota,30,1,6,"(129, 16)",86.0,43.0,4.285824262745095,0.19012308367772723,0.8387360097691889,0.014222338159884051,2
linearregression,Bogota,30,1,6,"(129, 16)",86.0,43.0,12.107061221350698,7.61982160792742,0.5323390961678482,0.29311112698135894,2
ridge,Mumbai,85,1,6,"(355, 16)",115.75,58.0,6.175597227547761,0.7934157553637076,0.2523192423153189,0.039763493758034105,4
ridge,MexicoCity,30,1,6,"(235, 16)",115.5,57.5,6.9259627481738395,0.09278918667966973,0.4871020844635369,0.011668071316730921,2
randomforestregressor,London,90,1,6,"(4027, 16)",116.28333333333333,58.083333333333336,4.599658653525002,1.5151960441534622,0.15804052645163463,0.1280438794425959,60
ridge,Mumbai,25,1,6,"(54, 16)",36.0,18.0,6.792870470074564,0.7215317722360419,0.2266631799902467,0.07962485246411427,2
lasso,Bogota,50,1,6,"(265, 16)",116.0,58.0,7.971186060219406,0.3562991327548519,0.542270588011301,0.02131220548287378,4
randomforestregressor,Singapore,85,1,6,"(984, 16)",117.21428571428571,58.714285714285715,3.885320317864031,0.8157670652973982,0.4629585515726525,0.08986065552360589,14
ridge,Singapore,10,1,6,"(30, 16)",20.0,10.0,4.807363839017534,1.1365515116669476,0.6313131313131313,0.18686868686868685,2
randomforestregressor,Zurich,30,1,6,"(62, 16)",41.0,21.0,12.382036657996505,3.280086226067331,0.3288624282595957,0.17565564402956096,2
ridge,Mumbai,30,1,6,"(72, 16)",48.0,24.0,7.593105020842577,2.742680391479088,0.5251031790651913,0.06549315121003807,2
ridge,Singapore,70,1,6,"(714, 16)",116.3,58.1,3.6928024369281625,0.6903275742867517,0.47830281996654345,0.058893085477008764,10
linearregression,London,70,1,6,"(2783, 16)",114.02380952380952,57.0,25.033110484843423,57.26037881570034,0.11293516650696037,0.173921818830198,42
lasso,Capetown,30,1,6,"(314, 16)",116.75,58.0,4.0322086775670885,1.1354793582398446,0.4106577811005913,0.11402281069812017,4
linearregression,Mumbai,30,1,6,"(72, 16)",48.0,24.0,37.15289103090864,12.364158074782248,0.31840998678079446,0.09963512600116042,2
ridge,NewYorkCity,30,1,6,"(386, 16)",113.25,56.75,7.706359449061729,1.7974364037906072,0.39944031637280963,0.10262587316739727,4
ridge,Zurich,65,1,6,"(219, 16)",110.5,55.5,8.491948765310337,0.44124323277234456,0.40040164527624333,0.007216460091058141,2
linearregression,Capetown,90,1,6,"(1614, 16)",115.41666666666667,57.708333333333336,18.01142860790419,42.137897030997635,0.4167584618611239,0.14300881970838908,24
randomforestregressor,NewYorkCity,70,1,6,"(1681, 16)",115.66666666666667,57.708333333333336,6.433411272586319,1.41408050716594,0.3425688437704603,0.09870678541694011,24
lasso,Mumbai,105,1,6,"(505, 16)",113.16666666666667,56.666666666666664,5.778395142427833,0.8551336836691629,0.0,0.0,6
ridge,Auckland,70,1,6,"(1031, 16)",111.78571428571429,56.0,2.034551285775698,0.619894980036675,0.674557930287093,0.07214843202994535,14
lasso,Singapore,10,1,6,"(30, 16)",20.0,10.0,12.29845704799673,5.442366395347447,0.2536231884057971,0.07971014492753625,2
linearregression,Auckland,10,1,6,"(55, 16)",36.0,19.0,32.39593653347292,2.3476164083939466,0.17310373588108496,0.5588411751031273,2
