model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
randomforestregressor,NewYorkCity,90,1,6,"(2589, 16)",115.38333333333334,57.766666666666666,5.607835797409981,1.2605770556251685,0.3242484052122373,0.11140935817036669,60
linearregression,Singapore,65,1,6,"(623, 16)",114.53333333333333,57.21666666666667,6.953033953283271,5.621327426270585,0.43651090168325074,0.18638709529543387,60
randomforestregressor,Bogota,30,1,6,"(129, 16)",86.0,43.0,5.6965050759022,1.9903458431032046,0.7566634455706077,0.0834710696399241,60
randomforestregressor,Auckland,10,1,6,"(55, 16)",36.0,19.0,2.4989670726636044,0.8952626554430189,0.8188232185219552,0.07234718487489848,60
linearregression,NewYorkCity,50,1,6,"(946, 16)",115.41666666666667,57.78333333333333,111.68197957752106,173.50803784754257,0.16297133180947798,0.2661826017198508,60
randomforestregressor,Singapore,90,1,6,"(1082, 16)",117.4,58.68333333333333,3.7072293903489086,0.8643791965880641,0.4538853958501103,0.10214550806932535,60
randomforestregressor,NewYorkCity,70,1,6,"(1681, 16)",116.61666666666666,58.31666666666667,6.095771495468586,1.2296083888091183,0.3491219764239154,0.10363935426137239,60
randomforestregressor,Singapore,85,1,6,"(984, 16)",113.55,56.75,3.8121027734343067,0.6578533769788885,0.4504784015667582,0.08553819950589414,60
linearregression,MexicoCity,90,1,6,"(1251, 16)",116.45,58.233333333333334,167.72443929089533,326.67332491596517,0.08855159599155647,0.1718180247910815,60
linearregression,London,70,1,6,"(2783, 16)",116.65,58.13333333333333,67.78238578562191,233.92894022080725,0.10807621317820336,0.15128808114043335,60
linearregression,Mumbai,85,1,6,"(355, 16)",116.23333333333333,58.05,68.53789072325911,92.90278677340132,0.11478454175449951,0.15001638606627504,60
linearregression,Singapore,50,1,6,"(408, 16)",115.36666666666666,57.68333333333333,2.547092843431704e+21,1.9564591363751993e+22,0.4333686687695729,0.2603012430731999,60
linearregression,Singapore,30,1,6,"(173, 16)",115.0,57.916666666666664,18.92309064935951,14.752937719073303,0.35582903415650186,0.29299005183751653,60
linearregression,Capetown,70,1,6,"(1144, 16)",115.96666666666667,57.9,72.39881165835206,259.90075105409164,0.3413747002735246,0.22438937065640094,60
randomforestregressor,Auckland,70,1,6,"(1031, 16)",117.03333333333333,58.53333333333333,2.268560067037618,0.6411381442519034,0.580519158342119,0.09206604917343637,60
