originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'4534230882386755902',minor,CONGESTION,02/21/2022 10:36:27,02/21/2022 11:21:27,0:45:00,1.34294,103.74631,1.34499,103.74022,0.7146529396423449
'1749878509693682402',minor,CONGESTION,02/21/2022 10:22:27,02/21/2022 11:22:27,1:00:00,1.42558,103.78923,1.42417,103.7922,0.36544473971533104
'941195231835629619',minor,CONGESTION,02/21/2022 10:48:27,02/21/2022 11:18:27,0:30:00,1.3288,103.86708,1.32578,103.87121,0.5681287492846627
'2982386140134125032',minor,CONGESTION,02/21/2022 10:52:57,02/21/2022 11:07:57,0:15:00,1.33844,103.86226,1.33335,103.8625,0.5634595412284763
'3503863310343272540',minor,CONGESTION,02/21/2022 11:36:27,02/21/2022 11:51:27,0:15:00,1.42558,103.78923,1.42417,103.7922,0.36544473971533104
'3620393986536231431',minor,CONGESTION,02/21/2022 12:40:27,02/21/2022 12:55:27,0:15:00,1.35925,103.7017,1.35692,103.69964,0.34487039974079065
'3506183526481583364',minor,CONGESTION,02/21/2022 13:40:16,02/21/2022 13:55:31,0:15:15,1.31381,103.87501,1.31356,103.87504,0.027844604044845716
'4141730848592588421',minor,CONGESTION,02/21/2022 13:49:01,02/21/2022 14:03:31,0:14:30,1.31407,103.87498,1.31381,103.87501,0.028942678749418277
'4606244660282008058',minor,CONGESTION,02/21/2022 14:06:20,02/21/2022 14:20:05,0:13:45,1.47596,103.58606,1.4754,103.58523,0.11120062937194986
'3931511491599184682',minor,CONGESTION,02/21/2022 16:37:20,02/21/2022 16:52:05,0:14:45,1.38326,103.59347,1.38215,103.59377,0.12719785536474365
'1821651914162575735',minor,CONGESTION,02/21/2022 18:23:20,02/21/2022 18:40:05,0:16:45,1.50789,103.60694,1.50669,103.60731,0.13893146858756703
'1503121974199870081',minor,CONGESTION,02/21/2022 18:44:05,02/21/2022 19:00:05,0:16:00,1.38326,103.59347,1.38215,103.59377,0.12719785536474365
'2235542245111456824',minor,CONGESTION,02/21/2022 22:28:46,02/21/2022 22:47:32,0:18:46,1.32961,103.86243,1.32716,103.86165,0.284476127901866
'289344420454969968',minor,CONGESTION,02/21/2022 22:38:46,02/21/2022 23:01:33,0:22:47,1.33025,103.86244,1.33409,103.86231,0.42485393023395157
'3936847679370713146',minor,CONGESTION,02/21/2022 22:48:57,02/21/2022 23:03:57,0:15:00,1.33414,103.86231,1.32961,103.86243,0.5010821828009109
'840141025400815477',minor,CONGESTION,02/21/2022 22:58:57,02/21/2022 23:13:57,0:15:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'920570484946589272',minor,CONGESTION,02/21/2022 23:00:57,02/21/2022 23:15:57,0:15:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'1580721564061640936',minor,CONGESTION,02/21/2022 23:00:01,02/21/2022 23:13:32,0:13:31,1.35827,103.85738,1.35939,103.85779,0.13198198797693256
'4447490828915667196',minor,CONGESTION,02/21/2022 23:02:57,02/21/2022 23:32:57,0:30:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'86657212178718278',minor,CONGESTION,02/21/2022 23:08:57,02/21/2022 23:23:57,0:15:00,1.36497,103.85997,1.35806,103.85752,0.8112634248247996
'1329031313054419399',minor,CONGESTION,02/21/2022 23:12:27,02/22/2022 00:57:27,1:45:00,1.36495,103.95535,1.3627,103.95901,0.4772876287917752
'3697002753847573526',minor,CONGESTION,02/21/2022 23:13:57,02/21/2022 23:28:57,0:15:00,1.31615,103.84709,1.31399,103.84546,0.2999208451618338
'2134449048993646793',minor,CONGESTION,02/21/2022 23:21:27,02/21/2022 23:36:27,0:15:00,1.33809,103.6775,1.33385,103.67617,0.49164724653204805
