city,scale,featurename,FI
auckland,025,#SPN-2,0.0356
auckland,025,#SPN-3,0.0381
auckland,025,#SPN-4,0.0472
auckland,025,#SPN-5,0.0078
auckland,025,#edges,0.0343
auckland,025,#free turns,0.0035
auckland,025,#nodes,0.0417
auckland,025,#total crossings,0.0249
auckland,025,#traffic lights,0.0229
auckland,025,SPN-avg,0.0239
auckland,025,avg circuity,0.0429
auckland,025,avg degree,0.0105
auckland,025,avg lanes,0.0127
auckland,025,local centrality,0.0107
auckland,050,#SPN-2,0.0202
auckland,050,#SPN-3,0.0496
auckland,050,#SPN-4,0.0383
auckland,050,#SPN-5,0.0127
auckland,050,#edges,0.0385
auckland,050,#free turns,0.0029
auckland,050,#nodes,0.0549
auckland,050,#total crossings,0.0117
auckland,050,#traffic lights,0.0289
auckland,050,SPN-avg,0.0261
auckland,050,avg circuity,0.0455
auckland,050,avg degree,0.0143
auckland,050,avg lanes,0.0111
auckland,050,local centrality,0.0092
auckland,100,#SPN-2,0.0246
auckland,100,#SPN-3,0.041
auckland,100,#SPN-4,0.0312
auckland,100,#SPN-5,0.0061
auckland,100,#edges,0.0399
auckland,100,#free turns,0.0029
auckland,100,#nodes,0.0563
auckland,100,#total crossings,0.0195
auckland,100,#traffic lights,0.0349
auckland,100,SPN-avg,0.0199
auckland,100,avg circuity,0.0459
auckland,100,avg degree,0.0098
auckland,100,avg lanes,0.0169
auckland,100,local centrality,0.0098
bogota,025,#SPN-2,0.0219
bogota,025,#SPN-3,0.0403
bogota,025,#SPN-4,0.0971
bogota,025,#SPN-5,0.0063
bogota,025,#edges,0.0486
bogota,025,#free turns,0.0951
bogota,025,#nodes,0.0704
bogota,025,#total crossings,0.1894
bogota,025,#traffic lights,0.0617
bogota,025,SPN-avg,0.0447
bogota,025,avg circuity,0.0665
bogota,025,avg degree,0.0346
bogota,025,avg lanes,0.0791
bogota,025,local centrality,0.0228
bogota,050,#SPN-2,0.042
bogota,050,#SPN-3,0.0301
bogota,050,#SPN-4,0.1106
bogota,050,#SPN-5,0.0043
bogota,050,#edges,0.0503
bogota,050,#free turns,0.0387
bogota,050,#nodes,0.0468
bogota,050,#total crossings,0.1848
bogota,050,#traffic lights,0.1187
bogota,050,SPN-avg,0.0399
bogota,050,avg circuity,0.045
bogota,050,avg degree,0.0512
bogota,050,avg lanes,0.1328
bogota,050,local centrality,0.027
