config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 0 streets_per_node_count_5 0.0004394098864431523 0.005208840268754058 11.854171764130164
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 1 mean_lanes -0.0014916384884458228 0.009511897607480599 -6.376811594202891
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 2 k_avg 0.0018145037707910684 0.03515865630953808 19.376458112407214
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 3 circuity_avg 0.00032429134930962505 0.0041302521639594 12.736239103362394
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 4 n -0.001289126297317279 0.008214692249571574 -6.37229437229437
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 5 betweenness -0.007184279814721114 0.04351397746934621 -6.056832221398572
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 6 streets_per_node_count_1 0 0 0
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 7 m 0.004077706640626497 0.006603573507087455 1.6194331983805696
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 8 metered_count -0.006435405489391541 0.03045238303798546 -4.73200687791698
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 9 total_crossings -0.012498282246564064 0.04892474229458238 -3.914517317612379
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 10 streets_per_node_count_2 -0.0016594609275709684 0.0057732220167392104 -3.4789743589743622
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 11 streets_per_node_count_4 0 0 0
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 12 global_betweenness 0.0049347713797891915 0.015436235010093254 3.128054740957964
config.CONGESTION_TYPE, slugifiedstring, i, key, value[2], value[0], value[1] : NON-RECURRENT-MMM non-recurrent-mmm-bogota-20-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24 13 non_metered_count -0.0056464460171285254 0.040230927872040745 -7.125
