city,scale,featurename,FI
auckland,025,#SPN-2,0.007
auckland,025,#SPN-3,0.0044
auckland,025,#SPN-4,0.0138
auckland,025,#SPN-5,0.002
auckland,025,#edges,0.0034
auckland,025,#free turns,0.0005
auckland,025,#nodes,0.0067
auckland,025,#total crossings,0.0033
auckland,025,#traffic lights,0.0083
auckland,025,SPN-avg,0.0035
auckland,025,avg circuity,0.0092
auckland,025,avg degree,0.0054
auckland,025,avg lanes,0.0029
auckland,025,local centrality,0.0025
auckland,050,#SPN-2,0.0036
auckland,050,#SPN-3,0.0072
auckland,050,#SPN-4,0.0131
auckland,050,#SPN-5,0.0011
auckland,050,#edges,0.0036
auckland,050,#free turns,0.0005
auckland,050,#nodes,0.0086
auckland,050,#total crossings,0.0023
auckland,050,#traffic lights,0.0082
auckland,050,SPN-avg,0.0047
auckland,050,avg circuity,0.0085
auckland,050,avg degree,0.009
auckland,050,avg lanes,0.0043
auckland,050,local centrality,0.0047
auckland,100,#SPN-2,0.0063
auckland,100,#SPN-3,0.0057
auckland,100,#SPN-4,0.0055
auckland,100,#SPN-5,0.0007
auckland,100,#edges,0.003
auckland,100,#free turns,0.0004
auckland,100,#nodes,0.0106
auckland,100,#total crossings,0.0037
auckland,100,#traffic lights,0.0086
auckland,100,SPN-avg,0.0027
auckland,100,avg circuity,0.0075
auckland,100,avg degree,0.0128
auckland,100,avg lanes,0.0054
auckland,100,local centrality,0.0079
bogota,025,#SPN-2,0.0046
bogota,025,#SPN-3,0.0107
bogota,025,#SPN-4,0.0122
bogota,025,#SPN-5,0.0008
bogota,025,#edges,0.0057
bogota,025,#free turns,0.0187
bogota,025,#nodes,0.0076
bogota,025,#total crossings,0.0283
bogota,025,#traffic lights,0.0128
bogota,025,SPN-avg,0.0155
bogota,025,avg circuity,0.0114
bogota,025,avg degree,0.008
bogota,025,avg lanes,0.0155
bogota,025,local centrality,0.0058
bogota,050,#SPN-2,0.0036
bogota,050,#SPN-3,0.0072
bogota,050,#SPN-4,0.0174
bogota,050,#SPN-5,0.0005
bogota,050,#edges,0.0065
bogota,050,#free turns,0.019
bogota,050,#nodes,0.0061
bogota,050,#total crossings,0.0362
bogota,050,#traffic lights,0.0189
bogota,050,SPN-avg,0.0121
bogota,050,avg circuity,0.0064
bogota,050,avg degree,0.0125
bogota,050,avg lanes,0.0179
bogota,050,local centrality,0.0057
bogota,100,#SPN-2,0.0043
