city,scale,featurename,FI
auckland,020,#SPN-2,0.0184
auckland,020,#SPN-3,0.0387
auckland,020,#SPN-4,0.0427
auckland,020,#SPN-5,0.0112
auckland,020,#edges,0.0309
auckland,020,#free turns,0.0074
auckland,020,#nodes,0.0506
auckland,020,#total crossings,0.0301
auckland,020,#traffic lights,0.0344
auckland,020,SPN-avg,0.0194
auckland,020,avg circuity,0.0339
auckland,020,avg degree,0.0104
auckland,020,avg lanes,0.0114
auckland,020,local centrality,0.0085
auckland,025,#SPN-2,0.0154
auckland,025,#SPN-3,0.0525
auckland,025,#SPN-4,0.0378
auckland,025,#SPN-5,0.0079
auckland,025,#edges,0.041
auckland,025,#free turns,0.0053
auckland,025,#nodes,0.0282
auckland,025,#total crossings,0.0275
auckland,025,#traffic lights,0.0341
auckland,025,SPN-avg,0.0306
auckland,025,avg circuity,0.0384
auckland,025,avg degree,0.0146
auckland,025,avg lanes,0.0096
auckland,025,local centrality,0.0128
auckland,030,#SPN-2,0.0167
auckland,030,#SPN-3,0.0524
auckland,030,#SPN-4,0.0685
auckland,030,#SPN-5,0.0065
auckland,030,#edges,0.0357
auckland,030,#free turns,0.0055
auckland,030,#nodes,0.0407
auckland,030,#total crossings,0.0296
auckland,030,#traffic lights,0.0201
auckland,030,SPN-avg,0.0153
auckland,030,avg circuity,0.0497
auckland,030,avg degree,0.0149
auckland,030,avg lanes,0.0149
auckland,030,local centrality,0.0113
auckland,040,#SPN-2,0.0177
auckland,040,#SPN-3,0.0551
auckland,040,#SPN-4,0.0466
auckland,040,#SPN-5,0.0062
auckland,040,#edges,0.0353
auckland,040,#free turns,0.0025
auckland,040,#nodes,0.0528
auckland,040,#total crossings,0.0177
auckland,040,#traffic lights,0.0345
auckland,040,SPN-avg,0.0181
auckland,040,avg circuity,0.0431
auckland,040,avg degree,0.011
auckland,040,avg lanes,0.0123
auckland,040,local centrality,0.009
auckland,050,#SPN-2,0.0134
auckland,050,#SPN-3,0.0569
auckland,050,#SPN-4,0.0403
auckland,050,#SPN-5,0.0026
auckland,050,#edges,0.034
auckland,050,#free turns,0.0046
auckland,050,#nodes,0.0492
auckland,050,#total crossings,0.0299
auckland,050,#traffic lights,0.0424
auckland,050,SPN-avg,0.0294
auckland,050,avg circuity,0.0553
auckland,050,avg degree,0.0139
auckland,050,avg lanes,0.0174
auckland,050,local centrality,0.0136
auckland,060,#SPN-2,0.0139
auckland,060,#SPN-3,0.0602
auckland,060,#SPN-4,0.0389
auckland,060,#SPN-5,0.0048
auckland,060,#edges,0.045
auckland,060,#free turns,0.0023
auckland,060,#nodes,0.0562
auckland,060,#total crossings,0.0212
auckland,060,#traffic lights,0.0338
auckland,060,SPN-avg,0.0178
auckland,060,avg circuity,0.0435
auckland,060,avg degree,0.014
auckland,060,avg lanes,0.0171
auckland,060,local centrality,0.0094
auckland,070,#SPN-2,0.011
auckland,070,#SPN-3,0.0536
auckland,070,#SPN-4,0.0352
auckland,070,#SPN-5,0.0041
auckland,070,#edges,0.0518
auckland,070,#free turns,0.0027
auckland,070,#nodes,0.0513
auckland,070,#total crossings,0.019
auckland,070,#traffic lights,0.0385
auckland,070,SPN-avg,0.0321
auckland,070,avg circuity,0.0522
auckland,070,avg degree,0.0113
auckland,070,avg lanes,0.0149
auckland,070,local centrality,0.0121
auckland,080,#SPN-2,0.0194
auckland,080,#SPN-3,0.0621
auckland,080,#SPN-4,0.037
auckland,080,#SPN-5,0.0062
auckland,080,#edges,0.0427
auckland,080,#free turns,0.0038
auckland,080,#nodes,0.048
auckland,080,#total crossings,0.0225
auckland,080,#traffic lights,0.0398
auckland,080,SPN-avg,0.0241
auckland,080,avg circuity,0.058
auckland,080,avg degree,0.0174
auckland,080,avg lanes,0.0224
auckland,080,local centrality,0.0133
auckland,090,#SPN-2,0.015
auckland,090,#SPN-3,0.0598
auckland,090,#SPN-4,0.0352
auckland,090,#SPN-5,0.0036
auckland,090,#edges,0.0404
auckland,090,#free turns,0.0043
auckland,090,#nodes,0.0519
auckland,090,#total crossings,0.0327
auckland,090,#traffic lights,0.0293
auckland,090,SPN-avg,0.026
auckland,090,avg circuity,0.0467
auckland,090,avg degree,0.0112
auckland,090,avg lanes,0.0202
auckland,090,local centrality,0.0108
auckland,100,#SPN-2,0.0121
auckland,100,#SPN-3,0.0437
auckland,100,#SPN-4,0.0289
auckland,100,#SPN-5,0.0035
auckland,100,#edges,0.0489
auckland,100,#free turns,0.0022
auckland,100,#nodes,0.0607
auckland,100,#total crossings,0.0246
auckland,100,#traffic lights,0.0405
auckland,100,SPN-avg,0.0211
auckland,100,avg circuity,0.0502
auckland,100,avg degree,0.0104
auckland,100,avg lanes,0.0172
auckland,100,local centrality,0.012
bogota,020,#SPN-2,0.0314
bogota,020,#SPN-3,0.0587
bogota,020,#SPN-4,0.0635
bogota,020,#SPN-5,0.0046
bogota,020,#edges,0.0678
bogota,020,#free turns,0.0255
bogota,020,#nodes,0.0651
bogota,020,#total crossings,0.0504
bogota,020,#traffic lights,0.0584
bogota,020,SPN-avg,0.0639
bogota,020,avg circuity,0.0599
bogota,020,avg degree,0.0419
bogota,020,avg lanes,0.1382
bogota,020,local centrality,0.0471
bogota,025,#SPN-2,0.0598
bogota,025,#SPN-3,0.0428
bogota,025,#SPN-4,0.1154
bogota,025,#SPN-5,0.0035
bogota,025,#edges,0.0294
bogota,025,#free turns,0.0187
bogota,025,#nodes,0.0399
bogota,025,#total crossings,0.0618
bogota,025,#traffic lights,0.1488
bogota,025,SPN-avg,0.065
bogota,025,avg circuity,0.11
bogota,025,avg degree,0.0338
bogota,025,avg lanes,0.082
bogota,025,local centrality,0.0572
bogota,030,#SPN-2,0.0316
