city,scale,featurename,FI
auckland,020,#SPN-2,0.0063
auckland,020,#SPN-3,0.0065
auckland,020,#SPN-4,0.0068
auckland,020,#SPN-5,0.0029
auckland,020,#edges,0.0054
auckland,020,#free turns,0.0007
auckland,020,#nodes,0.0074
auckland,020,#total crossings,0.0029
auckland,020,#traffic lights,0.0128
auckland,020,SPN-avg,0.0042
auckland,020,avg circuity,0.0078
auckland,020,avg degree,0.0052
auckland,020,avg lanes,0.0031
auckland,020,local centrality,0.0026
auckland,025,#SPN-2,0.0034
auckland,025,#SPN-3,0.0068
auckland,025,#SPN-4,0.0084
auckland,025,#SPN-5,0.003
auckland,025,#edges,0.0036
auckland,025,#free turns,0.0005
auckland,025,#nodes,0.012
auckland,025,#total crossings,0.0021
auckland,025,#traffic lights,0.0099
auckland,025,SPN-avg,0.0051
auckland,025,avg circuity,0.0093
auckland,025,avg degree,0.008
auckland,025,avg lanes,0.0024
auckland,025,local centrality,0.0026
auckland,030,#SPN-2,0.0035
auckland,030,#SPN-3,0.0074
auckland,030,#SPN-4,0.0148
auckland,030,#SPN-5,0.0013
auckland,030,#edges,0.0042
auckland,030,#free turns,0.0005
auckland,030,#nodes,0.008
auckland,030,#total crossings,0.005
auckland,030,#traffic lights,0.0048
auckland,030,SPN-avg,0.0058
auckland,030,avg circuity,0.0082
auckland,030,avg degree,0.0076
auckland,030,avg lanes,0.0041
auckland,030,local centrality,0.0032
auckland,040,#SPN-2,0.0059
auckland,040,#SPN-3,0.0063
auckland,040,#SPN-4,0.0101
auckland,040,#SPN-5,0.0009
auckland,040,#edges,0.0029
auckland,040,#free turns,0.0008
auckland,040,#nodes,0.0102
auckland,040,#total crossings,0.0024
auckland,040,#traffic lights,0.011
auckland,040,SPN-avg,0.0043
auckland,040,avg circuity,0.0086
auckland,040,avg degree,0.0082
auckland,040,avg lanes,0.0039
auckland,040,local centrality,0.0034
auckland,050,#SPN-2,0.0049
auckland,050,#SPN-3,0.0065
auckland,050,#SPN-4,0.0098
auckland,050,#SPN-5,0.0008
auckland,050,#edges,0.0029
auckland,050,#free turns,0.0005
auckland,050,#nodes,0.0091
auckland,050,#total crossings,0.0031
auckland,050,#traffic lights,0.0119
auckland,050,SPN-avg,0.0035
auckland,050,avg circuity,0.0107
auckland,050,avg degree,0.0084
auckland,050,avg lanes,0.004
auckland,050,local centrality,0.0048
auckland,060,#SPN-2,0.0064
auckland,060,#SPN-3,0.0109
auckland,060,#SPN-4,0.0103
auckland,060,#SPN-5,0.0004
auckland,060,#edges,0.0038
auckland,060,#free turns,0.0005
auckland,060,#nodes,0.0087
auckland,060,#total crossings,0.0035
auckland,060,#traffic lights,0.0094
auckland,060,SPN-avg,0.0031
auckland,060,avg circuity,0.008
auckland,060,avg degree,0.0101
auckland,060,avg lanes,0.006
auckland,060,local centrality,0.0057
auckland,070,#SPN-2,0.0044
