model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
randomforestregressor,Zurich,30,1,6,"(62, 16)",41.0,21.0,12.36695179537987,1.4763795594873754,0.35819792802111217,0.10690903597394122,7
linearregression,Auckland,70,1,6,"(1031, 16)",690.0,341.0,4.314209435282263,4.64756276058308,0.5309828909079329,0.1272131946565095,7
randomforestregressor,MexicoCity,90,1,6,"(1251, 16)",838.0,413.0,6.264975706463689,0.21775534357876555,0.3608624321151138,0.022663722971744692,7
randomforestregressor,Zurich,45,1,6,"(122, 16)",81.0,41.0,7.894953866129265,1.6985955342056451,0.4909516197781821,0.10390798851098218,7
ridge,Bogota,50,1,6,"(265, 16)",177.0,88.0,6.320088837679066,1.0450187290863293,0.7457371956190555,0.0411982644418721,7
lasso,NewYorkCity,70,1,6,"(1681, 16)",1126.0,555.0,7.243766798868136,0.34144201526054246,0.0031537339876476222,0.004280368142610093,7
randomforestregressor,Singapore,50,1,6,"(408, 16)",273.0,135.0,3.712011429942198,0.3664993413339847,0.594439443268116,0.013975598192418217,7
linearregression,Zurich,105,1,6,"(451, 16)",302.0,149.0,7.754849435261414,0.6180351793919303,0.3449878970519829,0.06953663432888682,7
lasso,Auckland,70,1,6,"(1031, 16)",690.0,341.0,3.1621682269424944,0.33503159937702903,0.023514450416620227,0.016241917336179433,7
ridge,Zurich,25,1,6,"(47, 16)",31.0,16.0,14.172943177650167,3.4967874815169178,0.32781863559789265,0.1114164225687446,7
linearregression,Mumbai,70,1,6,"(259, 16)",173.0,86.0,11.43109764636559,5.327733123298641,0.14798192275395763,0.11292009748269102,7
linearregression,Capetown,10,1,6,"(48, 16)",32.0,16.0,1766.578192179251,1701.8183815090174,0.08686915745760042,0.32207643401953784,7
lasso,MexicoCity,70,1,6,"(861, 16)",576.0,285.0,8.121141484856016,0.17501281148207437,0.0,0.0,7
lasso,London,30,1,6,"(723, 16)",484.0,239.0,7.039612352436495,0.6355308425789878,0.12191951073054952,0.014834303196375269,7
ridge,Auckland,50,1,6,"(635, 16)",425.0,210.0,2.022775069422748,0.15439276893481796,0.7030479994544557,0.01765577262892079,7
lasso,Zurich,85,1,6,"(330, 16)",221.0,109.0,9.056688370480254,0.3915408440376321,0.020584154953114973,0.019662102626438072,7
lasso,Capetown,70,1,6,"(1144, 16)",766.0,378.0,4.459705927964838,0.15948812340908358,0.0,0.0,7
ridge,London,90,1,6,"(4027, 16)",2698.0,1329.0,4.072102321060961,0.2922828203542118,0.1757557115163311,0.01238462270828427,7
randomforestregressor,Zurich,85,1,6,"(330, 16)",221.0,109.0,7.784343082006535,1.0839275272910798,0.32423599041318374,0.04902124854358693,7
linearregression,London,10,1,6,"(103, 16)",69.0,34.0,119.36194497902316,117.07634197153158,0.08482089077854564,0.1939171159832482,7
ridge,Mumbai,45,1,6,"(131, 16)",87.0,44.0,7.551348344465112,0.7155641695801204,0.23261862321941473,0.06010119517487217,7
ridge,Mumbai,65,1,6,"(233, 16)",156.0,77.0,6.490409249881908,0.5858051176461715,0.19609123338777432,0.05658267349422828,7
ridge,Capetown,50,1,6,"(690, 16)",462.0,228.0,2.90439744036241,0.2477551085567132,0.566517375214315,0.029524403286609217,7
linearregression,Singapore,25,1,6,"(132, 16)",88.0,44.0,9.100888091678593,3.0632562235152085,0.47532245268655876,0.1784272928991453,7
lasso,Mumbai,25,1,6,"(54, 16)",36.0,18.0,7.688920848007144,1.3568711056446252,0.035266263958301604,0.0419667806943255,7
