model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
linearregression,London,90,1,6,"(4027, 16)",114.3,57.166666666666664,16.29687153234599,26.54933928617621,0.11699599983943637,0.14316309571822314,60
gradientboostingregressor,Zurich,85,1,6,"(330, 16)",115.7,57.833333333333336,10.20015291661172,2.148785055837526,0.24623385230512101,0.11189430731223733,60
gradientboostingregressor,MexicoCity,70,1,6,"(861, 16)",115.41666666666667,57.68333333333333,7.451762342003226,1.3906741314341453,0.34848525867612706,0.11760089133824167,60
gradientboostingregressor,Auckland,30,1,6,"(297, 16)",115.9,58.0,3.1219008359034275,0.8544916056547806,0.6463587026371915,0.10213326568144195,60
gradientboostingregressor,Capetown,50,1,6,"(690, 16)",114.76666666666667,57.38333333333333,4.091057748535787,0.8281211875024311,0.4786647296158153,0.09146278806431782,60
linearregression,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,3886.1013202877903,6656.359137421459,0.12216740861658723,0.22765310679337836,60
gradientboostingregressor,Mumbai,50,1,6,"(153, 16)",102.0,51.0,7.5136913108248535,1.3145490657287873,0.2855432647181742,0.11217339790541146,60
randomforestregressor,Singapore,45,1,6,"(336, 16)",114.18333333333334,57.03333333333333,4.331700137630453,0.7800216081626394,0.5186246550595729,0.08768849368390226,60
linearregression,Bogota,50,1,6,"(265, 16)",115.31666666666666,57.71666666666667,119.5420337799971,187.71002139021803,0.3031072450887786,0.4030755300771295,60
linearregression,Mumbai,70,1,6,"(259, 16)",115.81666666666666,57.95,66.77081366556278,125.172903578462,0.08344223874972143,0.16716182662480536,60
linearregression,Istanbul,70,1,6,"(2751, 16)",114.58333333333333,57.3,260.88051349278606,638.0707131072439,0.24859266237918437,0.3222862632834897,60
gradientboostingregressor,Singapore,90,1,6,"(1082, 16)",114.61666666666666,57.266666666666666,4.280606455707883,1.1551665266216344,0.4322483079198855,0.12457507363987456,60
linearregression,NewYorkCity,70,1,6,"(1681, 16)",114.01666666666667,56.983333333333334,110.58144417203708,197.6269011315764,0.14588176099284464,0.1966801409777008,60
linearregression,London,50,1,6,"(1663, 16)",115.0,57.5,25.758495151453094,68.13592304444651,0.14994450032721138,0.19833555396851493,60
linearregression,Zurich,65,1,6,"(219, 16)",116.11666666666666,58.06666666666667,13.808927853893703,9.75019750434039,0.2755519330856567,0.17935827466765208,60
gradientboostingregressor,London,90,1,6,"(4027, 16)",114.93333333333334,57.333333333333336,5.534438009880972,1.5572641665295017,0.11769602021720922,0.12794703296114246,60
linearregression,Singapore,85,1,6,"(984, 16)",114.73333333333333,57.36666666666667,7.953776729044847,7.849485988462531,0.3608598477407467,0.20147621019088902,60
linearregression,Auckland,50,1,6,"(635, 16)",115.48333333333333,57.733333333333334,90.18811001710989,225.61783588317928,0.3297767480595578,0.3473482546260201,60
linearregression,NewYorkCity,50,1,6,"(946, 16)",115.11666666666666,57.53333333333333,148.25271828187752,261.73908742904047,0.11602095748093559,0.203445433423514,60
randomforestregressor,London,30,1,6,"(723, 16)",114.88333333333334,57.5,6.22250342262674,1.42755698845486,0.31905442041504734,0.1056397115136362,60
randomforestregressor,Singapore,85,1,6,"(984, 16)",114.0,57.016666666666666,3.8508579424760407,0.7451877382861012,0.44971819724976053,0.09411752689118379,60
linearregression,MexicoCity,90,1,6,"(1251, 16)",115.1,57.583333333333336,207.5871670384811,628.1510566459918,0.09999387842418851,0.16513832527375255,60
gradientboostingregressor,Capetown,90,1,6,"(1614, 16)",115.8,57.833333333333336,3.8492242163182273,1.0241489153251544,0.33030667708214323,0.12054116920730688,60
linearregression,Singapore,45,1,6,"(336, 16)",115.26666666666667,57.63333333333333,10.50569116478866,7.886510723985744,0.308989732981921,0.27186940682913396,60
randomforestregressor,Mumbai,70,1,6,"(259, 16)",115.25,57.6,6.679379985566752,1.0742045503155642,0.2131303778839078,0.09209450936729266,60
randomforestregressor,Bogota,90,1,6,"(626, 16)",115.7,57.86666666666667,6.509716827294192,2.938294336402225,0.6728872949687891,0.1176125999572646,60
gradientboostingregressor,Mumbai,65,1,6,"(233, 16)",115.43333333333334,57.733333333333334,7.5809921556847435,1.226189460364807,0.2629055050375245,0.09056369930555347,60
linearregression,London,10,1,6,"(103, 16)",69.0,34.0,333.6137787749263,596.5432183376663,0.07354602420560526,0.2507402458523415,60
gradientboostingregressor,Zurich,70,1,6,"(247, 16)",114.0,56.916666666666664,9.962009947361198,2.028880560713606,0.298401237301059,0.12401459088769497,60
linearregression,Mumbai,85,1,6,"(355, 16)",115.18333333333334,57.61666666666667,81.26182134203545,119.66102441846567,0.09485651755443131,0.14064347336478664,60
gradientboostingregressor,Singapore,45,1,6,"(336, 16)",115.18333333333334,57.61666666666667,5.098821360724717,1.0383472321155864,0.49274448867153875,0.09103876718965302,60
gradientboostingregressor,Istanbul,50,1,6,"(1652, 16)",116.41666666666667,58.18333333333333,3.523983318762173,1.2612454714194923,0.5845353957749975,0.09679381498539648,60
linearregression,Istanbul,90,1,6,"(4028, 16)",115.25,57.65,193.34976435236484,533.5949286828253,0.2669541530177958,0.3048928850726511,60
randomforestregressor,Bogota,70,1,6,"(441, 16)",115.46666666666667,57.833333333333336,5.736356229685778,1.3109639170558547,0.7282186849072836,0.06992272432257637,60
linearregression,Zurich,25,1,6,"(47, 16)",31.0,16.0,178.7080382717853,207.2553006870466,0.07928954515621278,0.26714607346216296,60
gradientboostingregressor,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,8.522280884339567,2.9960293722346405,0.4411761573986594,0.1630868471762464,60
linearregression,MexicoCity,70,1,6,"(861, 16)",115.03333333333333,57.483333333333334,282.7719113235737,675.5650348981044,0.05470652351313484,0.23577394535808047,60
linearregression,Zurich,45,1,6,"(122, 16)",81.0,41.0,14.268527565907538,7.8162753858952065,0.3055729211254412,0.16901204925818178,60
gradientboostingregressor,Zurich,25,1,6,"(47, 16)",31.0,16.0,13.935107779238926,4.103845273766237,0.35244767493252643,0.17557523639124795,60
linearregression,Capetown,90,1,6,"(1614, 16)",114.91666666666667,57.36666666666667,90.78746706676382,222.93394115038777,0.31545903539053527,0.21589293506705973,60
gradientboostingregressor,Zurich,30,1,6,"(62, 16)",41.0,21.0,13.8010638838549,3.8606917355607027,0.3674007732593166,0.16761865979672463,60
linearregression,Istanbul,30,1,6,"(740, 16)",116.15,58.083333333333336,2306.464124925037,8372.132717244782,0.17633473048276352,0.3293821598419297,60
gradientboostingregressor,Mumbai,85,1,6,"(355, 16)",116.16666666666667,58.03333333333333,6.625343668292899,1.3092467329802944,0.2648119486106138,0.10838090368776675,60
randomforestregressor,Bogota,30,1,6,"(129, 16)",86.0,43.0,6.125284389869891,1.7704445924664345,0.7272721298605774,0.08574886913353054,60
randomforestregressor,Capetown,70,1,6,"(1144, 16)",113.03333333333333,56.53333333333333,3.6775225057780334,1.0669527286146483,0.4014344382765403,0.10903333868948552,60
linearregression,Istanbul,50,1,6,"(1652, 16)",113.78333333333333,56.833333333333336,546.6591509803413,966.3677787966419,0.15341876665208887,0.31308755748171213,60
gradientboostingregressor,Mumbai,45,1,6,"(131, 16)",87.0,44.0,7.59112507739195,1.2750587528865724,0.26176499116767604,0.1114931573664984,60
gradientboostingregressor,Singapore,65,1,6,"(623, 16)",113.58333333333333,56.78333333333333,4.165751869657281,0.9422073598014443,0.4866351574903887,0.08806872463364049,60
gradientboostingregressor,Singapore,10,1,6,"(30, 16)",20.0,10.0,7.611055375863961,4.096796505231272,0.44427516026222574,0.2098360758688953,60
randomforestregressor,Singapore,65,1,6,"(623, 16)",116.43333333333334,58.13333333333333,3.6835442262935585,0.6807066709420689,0.5085676630028605,0.08615645549558411,60
gradientboostingregressor,NewYorkCity,70,1,6,"(1681, 16)",116.6,58.266666666666666,7.0874148779849255,1.6150143009354934,0.32466997280145143,0.11873075568644685,60
randomforestregressor,Singapore,10,1,6,"(30, 16)",20.0,10.0,5.779248683824883,2.7144589215656634,0.5013565906778542,0.19193285048595157,60
randomforestregressor,Singapore,105,1,6,"(1397, 16)",115.5,57.766666666666666,3.4318058138261236,0.8025157839207651,0.4486741922333262,0.09898914396442281,60
linearregression,Zurich,105,1,6,"(451, 16)",115.1,57.56666666666667,13.466083057645854,10.071865297092648,0.2549481865291092,0.13690243525157142,60
gradientboostingregressor,Singapore,105,1,6,"(1397, 16)",116.25,58.2,4.144569326179486,0.9721570121940415,0.41220493733502367,0.103651576731599,60
linearregression,Singapore,70,1,6,"(714, 16)",115.36666666666666,57.65,8.83313302910947,8.582670835160231,0.37119435583131033,0.27398108961022904,60
gradientboostingregressor,Capetown,30,1,6,"(314, 16)",114.35,57.166666666666664,3.857962455314492,0.9297654643956992,0.6368744375155904,0.08259334168586656,60
gradientboostingregressor,Bogota,30,1,6,"(129, 16)",86.0,43.0,6.361806267659123,1.9622408832748772,0.7459025878714419,0.08900369522389219,60
linearregression,Mumbai,25,1,6,"(54, 16)",36.0,18.0,552.4374340022607,1218.7834378142954,0.06841659741233462,0.2247446703277383,60
linearregression,Bogota,30,1,6,"(129, 16)",86.0,43.0,92.14653962773453,286.4946393246957,0.4606631875408407,0.38713891498498665,60
randomforestregressor,NewYorkCity,50,1,6,"(946, 16)",114.55,57.21666666666667,6.9425576309840435,1.3051243047988172,0.34531656287834456,0.10858799354482083,60
gradientboostingregressor,Singapore,30,1,6,"(173, 16)",115.0,57.916666666666664,4.950814217292981,1.0233425306798116,0.5595183989387301,0.09540584306954017,60
linearregression,Mumbai,45,1,6,"(131, 16)",87.0,44.0,80.43872707306986,108.58263104307412,0.09618134925391164,0.17262968026984485,60
linearregression,Singapore,10,1,6,"(30, 16)",20.0,10.0,2131.6283162231375,4592.410938249672,0.12303735608129045,0.2899802040761474,60
randomforestregressor,London,50,1,6,"(1663, 16)",116.16666666666667,58.03333333333333,5.396691197352714,1.268802480857744,0.22016153181348164,0.10614663301431325,60
gradientboostingregressor,Zurich,105,1,6,"(451, 16)",115.56666666666666,57.766666666666666,10.80329954204166,2.8939394197097714,0.21556939059792868,0.1207479764925258,60
linearregression,MexicoCity,30,1,6,"(235, 16)",113.93333333333334,56.93333333333333,250.62580900630047,461.7738175447153,0.1811295553538199,0.2203526800459138,60
randomforestregressor,Mumbai,45,1,6,"(131, 16)",87.0,44.0,6.989277371134657,1.1714837108243104,0.22828851080053056,0.10396354697315904,60
randomforestregressor,Zurich,70,1,6,"(247, 16)",115.46666666666667,57.71666666666667,8.217195948192796,1.4143461522432224,0.34845275865337305,0.10807663230504169,60
randomforestregressor,Capetown,10,1,6,"(48, 16)",32.0,16.0,3.7688968847432114,1.6114121315037744,0.7214239549674368,0.10251012150268851,60
randomforestregressor,NewYorkCity,30,1,6,"(386, 16)",116.16666666666667,58.03333333333333,6.753111339202603,1.187969451251797,0.455740417156157,0.0785701967091304,60
randomforestregressor,Capetown,50,1,6,"(690, 16)",115.46666666666667,57.75,3.5609610053214076,0.7121939121344875,0.5175326504642122,0.08938530139664987,60
gradientboostingregressor,Auckland,70,1,6,"(1031, 16)",115.46666666666667,57.766666666666666,2.4081814947863434,0.8849339500734515,0.5860025013275681,0.10268104883733699,60
gradientboostingregressor,Capetown,70,1,6,"(1144, 16)",115.2,57.7,3.862758634547832,0.9305225146943128,0.41844697112507856,0.11501137315124552,60
randomforestregressor,London,90,1,6,"(4027, 16)",116.5,58.25,5.066345269613569,1.3807168048488907,0.12589770269489967,0.11027873683495225,60
gradientboostingregressor,London,30,1,6,"(723, 16)",117.6,58.81666666666667,6.776236550156442,1.3482287604787104,0.326404326082956,0.12421608123328917,60
randomforestregressor,London,70,1,6,"(2783, 16)",113.71666666666667,56.9,4.987398760709608,1.252081141787165,0.19822098057947957,0.1394281253721765,60
gradientboostingregressor,MexicoCity,50,1,6,"(511, 16)",114.13333333333334,57.083333333333336,6.952870897920972,1.2800211725408734,0.43126567532051074,0.09973726052799473,60
randomforestregressor,Istanbul,70,1,6,"(2751, 16)",114.85,57.3,3.298513980598249,0.9261207201466702,0.544711203568958,0.09318226027324025,60
randomforestregressor,London,10,1,6,"(103, 16)",69.0,34.0,8.158627463819196,1.5235338877239846,0.4172231231734872,0.10197061750636309,60
gradientboostingregressor,Singapore,50,1,6,"(408, 16)",113.15,56.61666666666667,4.3277789569818035,0.9612209445931882,0.545885308254384,0.09955604146227644,60
randomforestregressor,Zurich,25,1,6,"(47, 16)",31.0,16.0,11.664875824356182,3.1755527782264084,0.392824715861709,0.1389749845234417,60
linearregression,Singapore,25,1,6,"(132, 16)",88.0,44.0,11.759702252675762,13.28533194758828,0.5515275182801511,0.20463130012398473,60
gradientboostingregressor,Bogota,70,1,6,"(441, 16)",115.16666666666667,57.516666666666666,6.876731831463981,2.216770252472812,0.6925357676048105,0.1128284354432459,60
gradientboostingregressor,London,10,1,6,"(103, 16)",69.0,34.0,8.951789317119488,2.0441692610003837,0.4047683525084291,0.14251104928222824,60
randomforestregressor,NewYorkCity,10,1,6,"(56, 16)",37.0,19.0,6.826777177436809,2.851550347054572,0.575430730530828,0.13261850354365168,60
randomforestregressor,MexicoCity,90,1,6,"(1251, 16)",114.25,57.15,6.871500772154834,1.0200878795879447,0.28251582023174926,0.09372140364512534,60
randomforestregressor,Singapore,70,1,6,"(714, 16)",116.96666666666667,58.45,3.755051528162712,0.8842623699172968,0.49840448878056903,0.09119901953777737,60
linearregression,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,142474.03552386808,309284.77691524464,0.06714555866537271,0.2313678615982512,60
randomforestregressor,Auckland,50,1,6,"(635, 16)",116.93333333333334,58.45,2.392233827567944,0.6806618631449896,0.6601527867929389,0.08685145977390597,60
randomforestregressor,Singapore,25,1,6,"(132, 16)",88.0,44.0,3.452311599647102,0.6985926032945007,0.7222946348194307,0.06872408879000982,60
gradientboostingregressor,Istanbul,30,1,6,"(740, 16)",114.08333333333333,56.96666666666667,4.262193772360606,1.041875457482086,0.6310876421472398,0.07995340856078857,60
gradientboostingregressor,NewYorkCity,50,1,6,"(946, 16)",114.71666666666667,57.31666666666667,7.424905634478896,1.471513938129396,0.3759424015762238,0.12010952625740033,60
linearregression,Bogota,70,1,6,"(441, 16)",116.36666666666666,58.25,70.71930877065019,153.95272206780055,0.43274423379642374,0.3249110599221743,60
randomforestregressor,Capetown,90,1,6,"(1614, 16)",115.53333333333333,57.766666666666666,3.033303623138211,0.9626614298768196,0.38904924486401327,0.10888610471696233,60
randomforestregressor,Auckland,30,1,6,"(297, 16)",115.41666666666667,57.75,2.760509559356962,0.5300710791052424,0.6737225509278773,0.05603099287487965,60
randomforestregressor,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,7.139305996747552,2.4945606940475993,0.4934199367857895,0.1406630514845933,60
randomforestregressor,MexicoCity,30,1,6,"(235, 16)",115.78333333333333,57.9,5.877908071283832,0.892576262793822,0.5173970369258138,0.06854122149694071,60
linearregression,Capetown,50,1,6,"(690, 16)",114.46666666666667,57.18333333333333,222.41941900152727,521.4780788507858,0.290817697774867,0.3001538365374972,60
gradientboostingregressor,Zurich,65,1,6,"(219, 16)",115.41666666666667,57.75,10.5257582879737,2.181327511667331,0.31634562619934065,0.10312915269166303,60
gradientboostingregressor,Auckland,10,1,6,"(55, 16)",36.0,19.0,3.4185202256299503,1.5479031728539359,0.7716800077316639,0.09270756998139909,60
randomforestregressor,Mumbai,50,1,6,"(153, 16)",102.0,51.0,6.327732771881573,1.0643943997725844,0.30825920489211783,0.08424616266207345,60
gradientboostingregressor,Istanbul,10,1,6,"(113, 16)",75.0,38.0,4.978883368341053,1.144605910834669,0.7072016277518747,0.06491466110431425,60
linearregression,MexicoCity,50,1,6,"(511, 16)",115.15,57.55,161.52561873159434,306.1206298510238,0.1441225646249332,0.220457871140769,60
linearregression,Singapore,30,1,6,"(173, 16)",115.0,57.93333333333333,16.22427148821051,11.602610470596396,0.2964491427249306,0.3231660506535784,60
randomforestregressor,Istanbul,50,1,6,"(1652, 16)",117.3,58.65,3.4082206829798736,0.9435935512674226,0.594066304714728,0.07460782849467114,60
randomforestregressor,Mumbai,105,1,6,"(505, 16)",115.06666666666666,57.53333333333333,6.100695581467224,1.477848118587629,0.19752424611051358,0.10463682257262047,60
randomforestregressor,Zurich,105,1,6,"(451, 16)",115.61666666666666,57.85,8.393332994094742,2.0293229314519707,0.2703660189464141,0.1215928021097861,60
randomforestregressor,MexicoCity,50,1,6,"(511, 16)",115.48333333333333,57.666666666666664,6.548383594638364,1.210304452569049,0.4232165978237024,0.10071722900274241,60
linearregression,Istanbul,10,1,6,"(113, 16)",75.0,38.0,2297.411916718966,9551.757146112494,0.07706661689685164,0.36229202369954616,60
gradientboostingregressor,Zurich,90,1,6,"(364, 16)",114.56666666666666,57.25,9.572769773934057,2.3770606815741866,0.262478535736275,0.11656875144610689,60
gradientboostingregressor,Capetown,10,1,6,"(48, 16)",32.0,16.0,3.8615711291932877,1.681763577336296,0.7229675994320329,0.10891322893518843,60
gradientboostingregressor,Auckland,90,1,6,"(1469, 16)",114.2,57.05,2.607834487889232,1.2841204573335747,0.5372178063126813,0.12048539661452251,60
linearregression,Mumbai,90,1,6,"(386, 16)",115.71666666666667,57.78333333333333,190.22029139627818,417.76475967141494,0.10200230915573241,0.17765882265041086,60
randomforestregressor,MexicoCity,70,1,6,"(861, 16)",115.06666666666666,57.5,6.795527296881689,0.9823411574828885,0.355182545364675,0.10694699795924834,60
gradientboostingregressor,Istanbul,70,1,6,"(2751, 16)",113.86666666666666,56.93333333333333,3.784580815796636,1.1836725903581267,0.48754799617414035,0.11599882817772689,60
randomforestregressor,Zurich,90,1,6,"(364, 16)",115.98333333333333,57.9,8.489281776947731,1.594279896928978,0.2777622973573672,0.09372667263078881,60
randomforestregressor,Istanbul,90,1,6,"(4028, 16)",116.11666666666666,58.05,3.306994126037996,1.2156797689435082,0.46706968874821014,0.10716592408833232,60
randomforestregressor,Auckland,90,1,6,"(1469, 16)",114.95,57.46666666666667,2.085507477477983,0.5914540800669847,0.5730063633272316,0.0968360091808323,60
linearregression,Mumbai,50,1,6,"(153, 16)",102.0,51.0,44.76902057810013,59.080044925612995,0.10853790973061127,0.20704515309468075,60
randomforestregressor,Mumbai,30,1,6,"(72, 16)",48.0,24.0,7.212705316096592,1.6516721575094502,0.40059563600921266,0.10481495136440494,60
linearregression,Capetown,10,1,6,"(48, 16)",32.0,16.0,6339.498300724522,12304.785225601456,0.04458773497900994,0.27428171465272894,60
gradientboostingregressor,Bogota,50,1,6,"(265, 16)",114.96666666666667,57.45,7.415090418231176,1.7453236405401826,0.6784733593800514,0.08894500907605875,60
randomforestregressor,Zurich,30,1,6,"(62, 16)",41.0,21.0,10.628807932499848,2.792322174307091,0.4347680502980922,0.13414714261350882,60
randomforestregressor,Zurich,65,1,6,"(219, 16)",115.21666666666667,57.55,8.635020116750743,1.2481417564964747,0.3519725849380772,0.09099980975503458,60
randomforestregressor,Mumbai,85,1,6,"(355, 16)",117.26666666666667,58.666666666666664,5.831907743143378,1.0374354173228202,0.27119765891134884,0.09473933657334435,60
randomforestregressor,Auckland,70,1,6,"(1031, 16)",114.91666666666667,57.483333333333334,2.2604117369004837,0.7971166108800704,0.5887254806949292,0.11256174035333569,60
randomforestregressor,Mumbai,90,1,6,"(386, 16)",115.13333333333334,57.55,6.250419891729659,1.182752205605193,0.19580997284228388,0.11888865848454404,60
randomforestregressor,Zurich,85,1,6,"(330, 16)",114.56666666666666,57.266666666666666,8.277981485115175,1.554281135550882,0.31261473791382793,0.10660881947349592,60
gradientboostingregressor,MexicoCity,30,1,6,"(235, 16)",116.2,58.06666666666667,6.808804528044296,1.1471524364534476,0.5020440130349072,0.08034433010811033,60
linearregression,Bogota,90,1,6,"(626, 16)",115.63333333333334,57.81666666666667,263.12370627902885,648.8127938141524,0.3566409767271873,0.328654568763885,60
linearregression,Singapore,50,1,6,"(408, 16)",113.73333333333333,56.88333333333333,9.830607073077475,11.481436927138054,0.4509997435152081,0.24063451199953853,60
gradientboostingregressor,Zurich,50,1,6,"(143, 16)",95.0,48.0,12.554887350976879,2.8408268642619987,0.29247272052680234,0.16319226846026458,60
randomforestregressor,Singapore,30,1,6,"(173, 16)",114.98333333333333,57.85,4.140845831608461,0.7305185172757713,0.6099027784504921,0.06460196253235678,60
linearregression,Singapore,105,1,6,"(1397, 16)",116.05,58.05,6.083317327345912,6.085497388361567,0.3661642531040217,0.20614249367868778,60
linearregression,London,70,1,6,"(2783, 16)",114.31666666666666,57.2,39.48346365701196,93.5744726990778,0.07767431198222415,0.1567278445604324,60
gradientboostingregressor,London,70,1,6,"(2783, 16)",113.55,56.7,5.9830822794310174,1.9767832226371425,0.17588156686979434,0.13873666742481944,60
randomforestregressor,Singapore,90,1,6,"(1082, 16)",115.13333333333334,57.45,3.744603567929688,0.8765001752354773,0.4291810895495108,0.10772328197674318,60
gradientboostingregressor,Mumbai,70,1,6,"(259, 16)",115.26666666666667,57.63333333333333,8.095316348307659,1.415246024576767,0.16943475827619706,0.10662454175501754,60
randomforestregressor,NewYorkCity,90,1,6,"(2589, 16)",115.05,57.516666666666666,5.503672011773239,1.1476268686071838,0.31189296185784293,0.10628708549522987,60
randomforestregressor,Istanbul,10,1,6,"(113, 16)",75.0,38.0,4.426187245582631,1.5005005902467545,0.7191688333846705,0.11026819183161712,60
linearregression,NewYorkCity,30,1,6,"(386, 16)",115.5,57.71666666666667,339.3385201228847,1020.4163436609196,0.1805992098419913,0.2559231359649341,60
gradientboostingregressor,NewYorkCity,30,1,6,"(386, 16)",115.15,57.583333333333336,7.529983068975779,1.2817996226030763,0.43956308928854554,0.08828860844581338,60
linearregression,Zurich,90,1,6,"(364, 16)",115.26666666666667,57.56666666666667,15.906708877134024,14.12492081897927,0.24492226659310995,0.18749013261784725,60
linearregression,Mumbai,30,1,6,"(72, 16)",48.0,24.0,245.05931253636436,550.0858263971077,0.16900759286546072,0.23236887002193435,60
randomforestregressor,Mumbai,65,1,6,"(233, 16)",114.66666666666667,57.3,6.34627099309911,1.0882973120266055,0.24100105274113687,0.11535072892071135,60
randomforestregressor,Singapore,50,1,6,"(408, 16)",114.83333333333333,57.416666666666664,3.8089380778635276,0.7213376262832054,0.5828903827253794,0.0816132516386369,60
randomforestregressor,Auckland,10,1,6,"(55, 16)",36.0,19.0,2.9484317217250764,1.4350460618023078,0.7805502379025782,0.11364804965694947,60
